"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","mm","centroidX","centroidY"
"Cell_28856",0,0,0.342475712,0,0,0.290265918,0,0.381555408,0,0.032985978,0.612679243,0.206573412,0,0,0.074665472,0.62132442,0.68819958,0,0,0.746404767,0.736097038,0.063168116,0.728381157,0,0,0,0,0,0.008380164,0,0,0.00723237,0,0.387009054,0,0.723601043,"CD8 T",1723.348022,587.6154175
"Cell_28857",0,0,0.106518917,0.827892423,0.054743428,0,0,0.66840291,0,0,0.783439994,0.618969858,0,0,0.02223189,0.31031388,0.518309712,0,0,0.549548507,0.744812906,0,0.891493022,0,0,0,0,0,0,0,0,0,0,0.469623566,0,0.565163732,"CD8 T",1174.947021,591.7683105
"Cell_28858",0,0,0,0,0,0.006434221,0,0.163339093,0,0,0.430282444,0.187682688,0,0,0.027543625,0.338205755,0.817378759,0,0,0.8801108,0.861087501,0.022542983,0.588453352,0,0,0,0,0,0,0,0,0,0,0.643007338,0,0.700340986,"CD8 T",1265.779053,597.2418823
"Cell_28859",0,0,0,0.383672267,0,0,0,1.040331125,0,0,0.94521445,0.588509023,0,0,0,0.728892028,0.741688848,0,0,0.733271897,0.72210598,0,0.820855916,0,0,0,0,0,0,0,0,0,0,0.370333344,0,0.683160245,"CD8 T",1176.220947,606.9586182
"Cell_28860",0,0,0.077585258,0,0,0,0,0.656455874,0,0.130168214,0.735344946,0.415425152,0,0,0.001792421,0.718024075,0.75516516,0,0,0.843488872,0.831064701,0,0.708867729,0,0,0,0,0,0,0,0,0.003694396,0.127373114,0.500797391,0.055076409,0.701618612,"CD8 T",1597.088013,611.5480957
"Cell_28861",0.164412275,0,0.625982463,0,0,0.062566951,0,0.50342387,0,0.135139614,0.7769081,0.667080045,0,0,0,0.592476487,0.547855437,0,0,0.643263757,0.560214937,0.19727467,0.775816619,0,0,0,0,0,0,0,0,0,0,0.233687252,0,0.593788147,"CD8 T",1781.357056,624.5496826
"Cell_28862",0,0,0,0.471493572,0,0.204200223,0,0.431183577,0,0,0.729141772,0.601248384,0,0,0,0.551927924,0.725775719,0,0,0.703973472,0.818661392,0.009188667,0.713715255,0,0,0,0,0,0,0,0,0,0,0.936360538,0,0,"CD8 T",1053.817993,631.6135864
"Cell_28863",0.438780487,0,0,0.101998836,0,0,0,0.440374553,0.174043834,0.069648579,0.566940188,0.34346205,0,0,0.16628167,0.515206456,0.783927381,0,0,0.759713173,0.611355901,0.050609652,0.693103313,0,0,0,0,0,0,0,0,0,0,0.405248553,0.270633757,0.720012128,"CD8 T",1389.719971,645.3499146
"Cell_28864",0,0,0.080389418,0,0,0,0,0.867714822,0,0.262016296,0.868074417,0.720194638,0,0,0,0.678180814,0.767112851,0,0,0.502568603,0.520143628,0.226320982,0.772681415,0,0.210180894,0,0,0.897209227,0,0,0,0,0.549691081,0.399148822,0,0.544851124,"CD8 T",1585,661.8778076
"Cell_28865",0,0.005095355,0.442566544,0,0.136265695,0.080758922,0,0.227467656,0,0.131768867,0.730635464,0.381638169,0,0,0.03886728,0.464254379,0.644086003,0,0,0.667051077,0.629071593,0.139370933,0.77355504,0,0,0,0.157204077,0,0,0,0,0.150252461,0,0.24779667,0,0.530646741,"CD8 T",1798.44104,676.9589233
"Cell_28866",0.511534333,0,0.00525145,0,0.006192347,0,0,0.092627257,0,0.026474606,0.516972482,0.226149961,0,0,0.009049689,0.142298415,0.719330311,0,0,0.690618992,0.743785679,0.686500788,0.676404178,0.573684454,0,0,0,0,0,0,0,0,0,0.568880558,0.228904203,0.672247827,"CD8 T",869.375,677.8074951
"Cell_28867",0,0,0.314878553,0,0.100239731,0.036319412,0,0.612478197,0,0.028662758,0.706030846,0.690340579,0,0,0.061307181,0.676033378,0.724691033,0,0,0.765431046,0.762122691,0.121841423,0.727966011,0,0,0,0,0,0,0,0,0.042382952,0,0.431333542,0,0.649335802,"CD8 T",1683.987061,681.5394897
"Cell_28868",0,0,0.017939258,0,0,0.012502305,0,0.266809404,0,0.147293001,0.650676429,0.305251539,0,0,0,0.220439374,0.755248189,0,0,0.682506859,0.631952286,0.230334565,0.718265951,0,0,0,0,0.021673007,0,0,0,0,0,0.50951618,0,0.397014499,"CD8 T",1751.31897,685.498291
"Cell_28869",0,0.048157454,0.313325584,0.088148125,0.126880378,0.135105252,0,0.691978872,0,0.357681125,0.803527117,0.316190928,0,0,0,0.431810737,0.765593886,0,0,0.797779024,0.756235242,0.111101203,0.769060493,0,0,0,0,0.014185525,0,0,0,0.148737833,0,0.443246394,0,0.514299214,"CD8 T",1769.145996,694.1912842
"Cell_28870",0.059270605,0,0,0,0,0,0,0.501217544,0,0.042433776,0.649804652,0.133162498,0,0,0,0.397056103,0.817198634,0,0,0.857983708,0.82031405,0.086706378,0.596454442,0.041344151,0,0,0,0,0,0,0,0,0,0.484338343,0,0.41946891,"CD8 T",866.4187012,700.1068726
"Cell_28871",0,0.27406159,0,0,0.002204162,0.348962724,0,0.620275617,0.016538087,0,0.627691984,0.453579128,0,0.206938133,0.055731878,0.640518308,0.80696696,0,0,0.765795767,0.777347922,0.018832473,0.662445128,0,0,0,0,0,0.29883638,0,0,0,0,0.480183065,0,0.597739816,"CD8 T",1317.088989,700.2584839
"Cell_28872",0,0,0.388397276,0,0.106933311,0,0,0.173557699,0,0.351179361,0.716247797,0.290243894,0,0,0.317892551,0.573196709,0.569334745,0,0,0.532320082,0.490627319,0.196390346,0.774139285,0,0,0,0.099380948,0,0,0,0,0.402896285,0,0.13207984,0,0.409742087,"CD8 T",1645.474976,701.3521729
"Cell_28873",0,0,0,0,0,0,0,0.289045423,0,0,0.289346367,0.197015852,0,0,0,0.291464269,0.709314823,0,0,0.670386732,0.780588031,0,0.508636773,0,0,0,0,0,0,0,0,0,0,0.280988246,0,0.712949514,"CD8 T",1326.984009,714.9368286
"Cell_28874",0.013236599,0,0,0,0,0,0,0.226518571,0,0.070470557,0.443892121,0.214635909,0,0,0,0.296045452,0.799928486,0,0,0.773510456,0.852672935,0,0.531547487,0,0,0,0,0,0,0,0,0,0,0.535303116,0.021733439,0.399714023,"CD8 T",1567.311035,722.3389893
"Cell_28875",0,0,0,0,0,0,0,0.458934516,0,0.060711667,0.602154195,0.067842238,0,0,0,0.415152282,0.757432699,0,0,0.839610398,0.874249578,0.027584486,0.58473134,0,0,0,0,0,0,0,0,0,0,0.463325143,0,0.575493634,"CD8 T",1318.698975,731.9840698
"Cell_28876",0,0,0.005070373,0,0,0,0,0.54047507,0,0.072889812,0.748041272,0.681221008,0,0,0.041810598,0.626318038,0.74864763,0,0,0.785134912,0.811535776,0.02166686,0.674519897,0,0,0,0,0,0,0,0,0,0,0.450846732,0,0.32721588,"CD8 T",1555.850952,734.9578857
"Cell_28877",0,0,0.340345562,0,0.015902059,0,0,0.392908037,0,0.087182045,0.777888596,0.494178087,0,0,0.09333802,0.734183729,0.81227994,0,0,0.788343012,0.646651089,0.403602868,0.718087912,0,0,0,0,0,0,0,0,0.131269574,0,0.456682473,0,0.753541231,"CD8 T",678.5474243,738.8317871
"Cell_28878",0,0,0,0.32770738,0,0.207016528,0,0.643338263,0,0,0.796997786,0.72145921,0,0,0,0.484511286,0.793249011,0,0,0.817943096,0.752293944,0,0.714149952,0,0,0,0,0,0,0,0,0,0,0.670353055,0,0.022757979,"CD8 T",947.9359741,740.1785278
"Cell_28879",0,0.014060851,0.144666865,0.13606663,0.398238033,0.016102562,0,0.361884266,0,0.024972508,0.734410048,0.40988645,0,0,0.047607157,0.651637673,0.620660424,0,0,0.64021039,0.592723846,0.085059218,0.752969682,0,0,0,0,0,0,0,0,0.118339546,0,0.298530549,0,0.48585698,"CD8 T",1848.973999,741.3690186
"Cell_28880",0.27440536,0,0.052238226,0,0,0.203285143,0,0.341467291,0,0.030851992,0.72344178,0.663620293,0,0,0.057084434,0.501443982,0.780436575,0,0,0.632121325,0.505251348,0.323584914,0.625506163,0,0,0,0,0,0,0,0,0.090986229,0,0.237802923,0,0.607272744,"CD8 T",618.2086182,746.7103882
"Cell_28881",0,0,0.03525177,0,0,0,0,0.658860207,0,0.366348058,0.730074406,0.254699171,0,0,0.009122059,0.365746617,0.777663887,0,0,0.813453078,0.792564511,0.091197319,0.649956346,0,0,0,0,0,0,0,0,0,0,0.587077737,0,0.426496834,"CD8 T",1358.555054,745.5682983
"Cell_28882",0.005039966,0,0.017219737,0.024661047,0.015791751,0,0,0.223973006,0,0.016542463,0.534477234,0.471739471,0,0.008412894,0.060928289,0.315879792,0.803566456,0,0,0.856343329,0.858487666,0.248099878,0.592831671,0,0,0,0.1438822,0,0,0,0,0,0,0.531328917,0.01324852,0.726294518,"CD8 T",1007.987,749.7202148
"Cell_28883",0,0,0,0.01767789,0,0.042865317,0,0.426771522,0.047165286,0,0.455916047,0,0,0,0,0.396882355,0.816656649,0,0,0.848652124,0.855450869,0,0.512643874,0,0,0,0,0,0,0,0,0,0,0.532725513,0,0.457825601,"CD8 T",1143.911987,765.7435303
"Cell_28884",0,0,0.016747708,0.499255776,0,0,0,0.68803066,0,0.024129976,0.806479216,0.13555783,0,0,0,0.774875343,0.662386,0,0,0.564066589,0.497571826,0.02045474,0.822854757,0,0,0,0,0,0,0,0,0,0,0.695079148,0,0.56157279,"CD8 T",870.7277832,768.5949097
"Cell_28885",0,0,0.183528602,0,0.243090257,0,0,0.51721704,0,0.098641224,0.719034433,0.432419032,0,0,0,0.632935047,0.756483376,0,0,0.763026714,0.702441871,0.156470105,0.692112625,0.191457659,0,0,0,0,0,0,0,0.126641273,0.106403932,0.449334353,0,0.674486697,"CD8 T",773.9537964,779.1572876
"Cell_28886",0,0,0.169092968,0,0,0,0,0.08353968,0,0,0.56670928,0.169027507,0,0,0,0.322505474,0.48868829,0,0,0.505688608,0.514435291,0.108497329,0.67018038,0,0,0,0,0,0,0,0,0,0,0.637375295,0,0.426682264,"CD8 T",875.3309937,779.737915
"Cell_28887",0,0.023031499,0.345268875,0,0,0,0,0.837121665,0,0.242443323,0.846024275,0.741621494,0,0,0,0.828616738,0.657953262,0,0,0.684982121,0.724675,0.534591675,0.782002568,0.058906417,0,0,0,0,0,0,0,0.032870021,0,0.306479216,0,0.673541784,"CD8 T",738.3513794,786.0714722
"Cell_28888",0,0.028997241,0.117771901,0,0,0,0,0.639167011,0,0.040054213,0.841398895,0.856318533,0,0,0.054493401,0.738184214,0.773367286,0,0,0.696365893,0.575507045,0.734915257,0.801314414,0.233047664,0,0,0,0,0,0,0,0.128938451,0,0.380323499,0,0.539993048,"CD8 T",686.6906738,790.7056885
"Cell_28889",0,0,0,0.056666717,0,0,0,0.528516591,0,0.398306131,0.730756521,0.135284081,0,0,0.129703447,0.435890585,0.583642721,0,0,0.619506955,0.59995383,0,0.675583065,0,0,0,0,0,0,0,0,0,0,0.397040635,0,0.56736362,"CD8 T",1363.987061,792.1400146
"Cell_28890",0,0,0.162826583,0,0.026810469,0.032129262,0,0.465487808,0,0.157464042,0.720077157,0.569174647,0,0,0,0.616125703,0.774875641,0,0,0.653061926,0.738915145,0.299206972,0.74408108,0,0,0,0,0,0,0,0,0.025674103,0,0.429862618,0,0.420432985,"CD8 T",745.2139893,812.1062012
"Cell_28891",0.264914751,0,0,0,0,0.21184133,0,0.308885336,0.301407278,0,0.539045513,0.442971915,0,0.501936734,0.087700054,0.390064985,0.825788677,0,0,0.600408554,0.631309986,0.053333178,0.676526487,0,0,0,0.390080541,0,0,0,0,0,0.176833466,0.507607877,0,0.681405842,"CD8 T",1172.900024,812.9232178
"Cell_28892",0,0,0,0,0.022357557,0.035619721,0,0.644726813,0,0.06956505,0.663043678,0.378873527,0,0,0,0.520956755,0.782956183,0,0,0.722604811,0.759976506,0.075502679,0.652887106,0,0,0,0,0,0,0,0,0,0.145634189,0.348455936,0,0.315010071,"CD8 T",1909.965942,821.8366089
"Cell_28893",0,0,0,0,0,0.22685346,0,0.203340665,0,0,0.641182065,0.120995484,0,0,0,0.48881191,0.800879776,0,0,0.889452398,0.823749661,0.113774382,0.642361939,0,0,0,0,0,0,0,0,0,0,0.642171025,0,0.495787203,"CD8 T",857.4351196,827.257019
"Cell_28894",0,0,0,0,0.029747926,0.001886098,0,0.276646048,0,0,0.480679303,0,0,0,0,0.429593116,0.732673168,0,0,0.686092317,0.708638728,0.021477386,0.617404401,0,0,0,0,0,0,0,0,0,0,0.285163879,0,0.574410319,"CD8 T",2037.405029,833.0286255
"Cell_28895",0,0,0,0,0,0.082026571,0,0.93162185,0,0.317262799,0.819205344,0.00370306,0,0,0,0.614515543,0.767587423,0,0,0.826996028,0.740985811,0.367292255,0.768678069,0,0,0,0,0,0,0,0,0,0,0.56348455,0,0.523069024,"CD8 T",1524.494995,851.9614258
"Cell_28896",0,0,0,0.011726969,0,0.120398216,0,0.39676103,0,0,0.721103251,0,0,0,0,0.567283869,0.645676017,0,0,0.638701975,0.522969544,0.666172504,0.781443655,0,0,0,0.08588206,0,0,0,0,0,0,0.599289238,0,0,"CD8 T",1511.215942,854.7319946
"Cell_28897",0,0,0.246681646,0,0.2014267,0,0,0.546989083,0,0.096365482,0.756419718,0.647476256,0,0,0.007714562,0.463300765,0.721288383,0,0,0.717584312,0.682866693,0.413073599,0.716880798,0,0,0,0,0.268246204,0,0,0,0.15345709,0.41803053,0.350687891,0,0.549451709,"CD8 T",642.3466797,856.5327759
"Cell_28898",0,0,0,0.12757118,0.006700836,0,0,0.29678455,0.125256956,0.003070425,0.539199889,0.102586143,0,0,0.035178583,0.457420677,0.766755879,0,0,0.800658703,0.73486346,0,0.614566267,0,0,0,0,0,0,0,0,0,0,0.492296696,0,0.429992139,"CD8 T",815.9677734,859.6522217
"Cell_28899",0,0.317497462,0,0,0,0,0,0.442678988,0,0.088390514,0.614126503,0.422764331,0,0.154011503,0,0.240633339,0.764960527,0,0,0.824580133,0.819753826,0.173533961,0.562952042,0,0,0,0,0,0.268716335,0,0,0,0,0.438236922,0,0.569382787,"CD8 T",1796.822998,863.3977051
"Cell_28900",0,0,0,0,0,0,0,0.508481145,0,0,0.464997858,0.070676841,0,0,0,0.349414915,0.807394981,0,0,0.852470815,0.923285544,0.083482742,0.567555189,0,0,0,0.006444696,0,0,0,0,0,0,0.475426108,0,0.483110458,"CD8 T",721.694397,869.5894775
"Cell_28901",0,0,0.346049309,0,0.292706728,0,0,0.481341273,0,0.091870792,0.782206774,0.688183904,0,0.018745396,0.265471667,0.651041806,0.751732111,0,0,0.648506284,0.687952459,0.454806626,0.690834224,0,0,0,0,0,0,0,0,0.172332585,0,0.207819164,0,0.444661379,"CD8 T",681.4680786,886.5203247
"Cell_28902",0,0,0.00334188,0,0.023625899,0,0,0.242565468,0,0.014443732,0.457906872,0.222459018,0,0,0.123198248,0.23758164,0.720137835,0,0,0.619045436,0.669146419,0.09400589,0.697790921,0.470105588,0,0,0,0,0,0,0,0,0,0.344041139,0,0.674518168,"CD8 T",725.3585815,888.972229
"Cell_28903",0,0,0.24284707,0,0.26224339,0,0,0.839767814,0,0.273767799,0.806440771,0.66522336,0,0,0.483664095,0.708611965,0.711214483,0,0,0.654122651,0.634114921,0.456328869,0.698223233,0.01526327,0,0,0,0.313312948,0,0,0,0.139917105,0,0.236279383,0.012891529,0.768401504,"CD8 T",699.5797119,905.5046997
"Cell_28904",0.059843518,0,0.008555893,0,0.011208884,0.019863021,0,0.423830688,0,0,0.626243651,0.396802157,0,0,0.023570774,0.581363261,0.770871997,0,0,0.618272007,0.588217556,0.067253835,0.668244362,0,0,0,0,0,0,0,0,0,0,0.324415356,0,0.285829782,"CD8 T",1927.588013,904.9008789
"Cell_28905",0,0,0.103113033,0,0.237489417,0,0,0.453796446,0,0,0.540080547,0.031021317,0,0,0.088893898,0.343170941,0.57215476,0,0,0.620545566,0.561711729,0.064781085,0.558324158,0,0,0.005464986,0,0,0,0,0,0,0,0.229852527,0,0.008300163,"CD8 T",1979.519043,908.427002
"Cell_28906",0.079540327,0,0,0.088525578,0,0,0,0.491986781,0,0.025562204,0.706048071,0.654940307,0,0,0.015722886,0.701782346,0.818211913,0,0,0.724392414,0.729130328,0.003098644,0.642541647,0,0,0,0,0,0,0,0,0,0,0.475389361,0,0.723220527,"CD8 T",1124.962036,913.4885254
"Cell_28907",0,0.024906145,0.010238104,0,0.008048552,0,0,0.219574898,0,0,0.508389771,0.028930468,0,0.119106822,0.133195668,0.397903085,0.675444186,0,0,0.70747596,0.600769877,0.094944984,0.598025918,0,0,0,0,0,0.245240495,0,0,0,0,0.446975708,0,0.295603037,"CD8 T",1955.287964,918.0773926
"Cell_28908",0.040274885,0,0.017232193,0,0.045036975,0,0,0.349565417,0,0.002759386,0.597593665,0.318973154,0,0,0,0.453785062,0.788017273,0,0,0.527846813,0.592239916,0.296786636,0.698280871,0.133518979,0,0,0.284823954,0,0,0,0,0,0,0.313549548,0,0.423798352,"CD8 T",1757.234009,942.3256226
"Cell_28909",0,0.027433505,0.277649611,0,0,0,0,0.279694825,0,0.091756769,0.6210832,0.555361688,0,0.038473506,0.242184445,0.509039819,0.832036018,0,0,0.80817008,0.832314253,0.126146749,0.631438315,0,0,0,0,0,0.097167365,0,0,0,0,0.476193905,0,0.593975365,"CD8 T",1849.534058,967.3380737
"Cell_28910",0,0,0.381681859,0,0.292508185,0,0,0.481910616,0,0.175432801,0.800377607,0.652109265,0,0,0.064446434,0.513548613,0.709852934,0,0,0.63044101,0.694619656,0.175953344,0.682994962,0,0,0,0,0,0,0,0,0,0,0.25548467,0,0.156940177,"CD8 T",2017.046997,968.7694702
"Cell_28911",0.011538754,0,0.021901244,0,0,0,0,0.721843064,0,0.125430033,0.827252448,0.832663596,0,0,0,0.581847727,0.651979744,0,0,0.754839659,0.737615347,0.452590078,0.765339434,0,0,0,0,0,0,0,0,0.024899973,0,0.41366753,0,0.200054929,"CD8 T",577.0463867,973.9735107
"Cell_28912",0,0,0.167751625,0,0.008815725,0,0,0.451514423,0,0.016157024,0.604482114,0.487259716,0,0,0,0.464638352,0.81040436,0,0,0.881714642,0.796571493,0.054447636,0.679016292,0,0,0,0,0,0,0,0,0,0,0.522277951,0.249831662,0.446166992,"CD8 T",1865.630005,973.9971924
"Cell_28913",0.098571189,0,0.127368227,0,0.061230689,0,0,0.457704991,0,0.033830952,0.774091125,0.616674662,0,0,0,0.641004145,0.79737556,0,0,0.602215111,0.608890474,0.519198954,0.698684514,0.027490927,0,0,0,0,0,0,0,0,0,0.318655431,0,0.32205373,"CD8 T",511.7987976,976.0828247
"Cell_28914",0,0,0.047412068,0.011666851,0,0,0,0.772745132,0,0.024439173,0.653522134,0.453013062,0,0,0.087634914,0.638921499,0.739707708,0,0,0.603328645,0.690435112,0.168774411,0.58466053,0.044609491,0,0,0,0.624083638,0,0,0,0,0.173368424,0.322395355,0,0.573967218,"CD8 T",1921.874023,980.2589722
"Cell_28915",0.025752867,0.013736989,0.040591143,0,0.061799213,0,0,0.518117845,0,0.05524303,0.733560622,0.604444385,0,0,0,0.445492476,0.77603209,0,0,0.701155961,0.583543479,0.643954933,0.732897341,0.303948224,0,0,0,0,0,0,0,0.139987603,0,0.351176441,0,0.641049445,"CD8 T",508.199707,993.2200928
"Cell_28916",0.092040285,0,0,0,0,0,0,0.563325107,0,0,0.623238444,0.630426884,0,0,0,0.561522365,0.533617496,0,0,0.699934006,0.763606369,0,0.504483104,0,0,0.079861253,0,0,0,0,0,0,0,0,0,0,"CD8 T",90.30000305,997.2800293
"Cell_28917",0,0,0.068087317,0.06267684,0,0.862099528,0,0.573797464,0,0.240290537,0.797510386,0.368039072,0,0,0,0.457588285,0.734281301,0,0,0.653023481,0.520533621,0.721192181,0.821250379,0.04280651,0,0,0,0,0,0,0,0,0,0.535157323,0,0.597121418,"CD8 T",608.5111084,1006.809998
"Cell_28918",0,0,0.237997398,0,0,0.123326339,0,0.312322676,0,0.084919177,0.643986166,0.418988317,0,0,0.193193763,0.340560436,0.718854368,0,0,0.686340511,0.590360463,0.838671684,0.838610232,0.686242759,0,0,0,0,0,0,0,0.695565581,0,0.746742606,0,0.780439258,"CD8 T",552.175293,1017.398987
"Cell_28919",0.028036136,0,0,0,0,0,0,0.460015178,0.025137961,0,0.714821517,0.594780564,0,0,0,0.681389153,0.844085276,0,0,0.709077656,0.676251292,0,0.729073882,0,0,0,0,0,0,0,0,0,0,0.843031347,0,0.6169433,"CD8 T",1895.588989,1024.831055
"Cell_28920",0,0,0.687298954,0,0.341104627,0,0,0.300315052,0,0.04430569,0.856060505,0.540039897,0,0.001610789,0.052769039,0.670470476,0.746298611,0,0,0.569533885,0.512735128,0.359789521,0.851737082,0.095548086,0,0,0,0,0,0,0,0.228970438,0,0.341231585,0.029116115,0.566081762,"CD8 T",1842.993042,1029.286011
"Cell_28921",0,0,0,0,0,0.00626523,0,0.040080555,0.042408954,0,0.506014287,0.227029681,0,0,0.163960531,0.297106504,0.761466742,0,0,0.677015901,0.632119238,0.17671369,0.61291647,0,0,0,0,0,0,0,0,0,0,0.575774252,0,0.620135307,"CD8 T",656.6276855,1037.792969
"Cell_28922",0,0,0,0,0,0,0,0.338658571,0.047043536,0,0.693648934,0.483933538,0,0,0.193633258,0.595447719,0.52596122,0,0,0.548648477,0.521122396,0.113526329,0.669621766,0,0,0,0,0,0,0,0,0,0,0.604722559,0,0.545169711,"CD8 T",680.8682251,1044.81897
"Cell_28923",0,0,0,0.04347302,0,0,0,0.388005972,0.018453559,0.110314451,0.666491508,0.323272914,0,0,0.010350812,0.383040458,0.784511864,0,0,0.807493269,0.779365301,0,0.720422208,0,0,0,0,0,0,0,0,0,0,0.512853682,0,0.540303171,"CD8 T",703.6893921,1046.990967
"Cell_28924",0,0,0,0,0,0.013323834,0,0.310603082,0,0,0.404069364,0.016637241,0,0,0,0.288723499,0.710354149,0,0,0.720645487,0.739925683,0.018684281,0.593078196,0,0,0,0,0,0,0,0,0,0,0.492339015,0,0.213898227,"CD8 T",1984.73999,1048.447998
"Cell_28925",0,0,0,0.24917385,0.01050714,0,0,0.211455315,0,0,0.324302763,0.084598526,0,0,0.18463628,0.258146971,0.721422136,0,0,0.707473576,0.668140113,0.021760445,0.472373605,0,0,0,0,0.028699277,0,0,0,0,0,0.627746105,0,0,"CD8 T",1188.660034,1053.198975
"Cell_28926",0,0,0,0.414369881,0,0,0,0.724549532,0,0,0.700218737,0.416610122,0,0,0,0.712743938,0.811099648,0,0,0.482534498,0.391956508,0.059894454,0.680014074,0,0,0,0,1.098057866,0,0,0,0,0,0.237563998,0,0.362907946,"CD8 T",1169.598022,1054.891968
"Cell_28927",0.016473517,0,0,0,0,0.043026369,0,0.372002214,0,0,0.48183164,0.146575481,0,0,0,0.464494228,0.769981802,0,0,0.658535779,0.804686725,0.011468257,0.625925303,0,0,0,0.564589798,0.307436228,0,0,0,0,0,0.347996801,0,0.527228534,"CD8 T",1965.092041,1058.362061
"Cell_28928",0,0,0,0,0.002737791,0,0,0.243832946,0,0,0.527026772,0.372772127,0,0,0.168588877,0.359221905,0.747491777,0,0,0.690249741,0.722258031,0,0.56599617,0,0,0,0,0,0,0,0,0,0,0.293440342,0,0.38005051,"CD8 T",900.4447021,1057.333984
"Cell_28929",0,0,0,0.106657647,0.042582639,0,0,0.177169353,0,0.016471025,0.52513063,0.39433527,0,0,0.189926505,0.266244084,0.764463067,0,0,0.747015953,0.793354809,0,0.66402173,0,0,0,0,0,0,0,0,0,0,0.382459611,0,0.687839389,"CD8 T",887.8704224,1071.152954
"Cell_28930",0,0,0,0.328935385,0,0,0,0.641894519,0,0.029781559,0.772110283,0.611963928,0,0,0,0.582149565,0.525752544,0,0,0.640009522,0.704600215,0,0.688211322,0,0,0,0,0,0,0,0,0,0,0.465835154,0,0,"CD8 T",687.859375,1069.984009
"Cell_28931",0,0,0.026486818,0,0,0.022145124,0,0.692464292,0,0.055931039,0.702924132,0.54488802,0,0,0.061683863,0.493790179,0.742628098,0,0,0.723532677,0.768979311,0.113148473,0.653849185,0,0,0,0,0,0,0,0,0,0,0.346421242,0,0.682378829,"CD8 T",2006.89502,1076.411011
"Cell_28932",0,0,0,0.017612752,0.059541203,0,0.196206391,0.356583506,0,0.033731256,0.546147704,0.446378469,0,0,0.060147449,0.515551925,0.775514722,0,0,0.761663973,0.788389802,0.087847434,0.557087183,0,0,0,0,0,0,0,0,0,0,0.362930566,0,0.626163483,"CD8 T",1084.248047,1082.652954
"Cell_28933",0,0,0.005679656,0.174250752,0.238929436,0,0,0.352237523,0.10767141,0.145970434,0.653813004,0.347488761,0,0,0.039045457,0.364917368,0.722289801,0,0,0.687217474,0.647020876,0.067531563,0.65819031,0,0,0,0,0,0,0,0,0.040324412,0,0.762288988,0,0.518612683,"CD8 T",1636.894043,1085.339966
"Cell_28934",0,0,0,0.013737273,0.040114973,0.230000749,0,0.340142727,0,0.050606858,0.600318015,0.344938368,0,0,0,0.554008961,0.770396829,0,0,0.700242519,0.753177226,0.126952231,0.655687153,0,0,0,0,0,0,0,0,0,0,0.37390101,0,0.741924167,"CD8 T",970.8720093,1091.506958
"Cell_28935",0,0,0,0.129661128,0,0,0,0.210565284,0,0,0.573172867,0.091357663,0,0,0.220048562,0.405238301,0.831468523,0,0,0.822649181,0.70991683,0.181836545,0.606587052,0,0,0,0,0,0,0,0,0,0,0.429884374,0,0.363139778,"CD8 T",1103.264038,1121.437012
"Cell_28936",0,0,0,0,0,0,0,0.377643853,0,0,0.740909517,0.531458855,0,0,0,0.612238646,0.556790173,0,0,0.665533185,0.586709857,0.434274584,0.645613074,0,0,0,0,0,0,0,0,0,0,0.524446428,0,0.717287183,"CD8 T",467.6429138,1124.26001
"Cell_28937",0,0,0.269215077,0,0.132454231,0,0,0.528224051,0,0,0.733601391,0.338519067,0,0,0.202201381,0.524655044,0.601119399,0,0,0.704208076,0.681134224,0.240501851,0.694179177,0,0,0,0,0,0,0,0,0,0,0.464228153,0,0.603236139,"CD8 T",800.0567017,1160.02002
"Cell_28938",0,0,0.100887261,0,0,0,0,0.823248863,0,0.047268592,0.753742099,0.591757834,0,0,0.159807563,0.580676377,0.790411413,0,0,0.717304111,0.610014677,0.006020062,0.681666672,0,0,0,0,0,0,0,0,0,0,0.639998198,0,0.499908596,"CD8 T",1554.42395,1179.305054
"Cell_28939",0,0,0,0,0.029519111,0,0,0.5244596,0,0.107801922,0.676373422,0.611341596,0,0,0,0.443066359,0.708856463,0,0,0.677694917,0.701090574,0.207803428,0.612708092,0,0,0,0,0.327025115,0,0,0,0,0,0.550222754,0,0.608167231,"CD8 T",1383.010986,1185.448975
"Cell_28940",0,0,0,0,0.176686421,0,0,0.472400397,0,0,0.581215143,0.435196131,0,0,0.072024606,0.439839602,0.715866327,0,0,0.59297502,0.619729519,0.228488058,0.623745322,0,0,0,0,0.574125767,0,0,0,0,0,0.411192477,0,0.666939199,"CD8 T",1370.880005,1189.463989
"Cell_28941",0,0,0,0,0,0,0,0.129778311,0,0,0.684938908,0.011572757,0,0,0.072637759,0.419017166,0.772527277,0,0,0.831935346,0.515761614,0.04048381,0.689623296,0,0,0,0,0,0,0,0.032745183,0,0,0.526409984,0,0.54768604,"CD8 T",1472.769043,1215.151001
"Cell_28942",0,0,0,0.061884981,0,0,0,0.606226444,0.071015015,0.127616182,0.673054099,0.432057142,0,0,0.036469851,0.537433267,0.613168478,0,0,0.70353049,0.744854093,0.2655738,0.681872725,0,0,0,0,0.41733107,0,0,0,0,0,0.472623318,0,0.534734666,"CD8 T",850.9835815,1217.545044
