"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","mm","centroidX","centroidY"
"Cell_1423",0,0,0.436154246,0,0,0.817878485,0,0.161340982,0,0.129629448,0.75191164,0.422148824,0,0.008298905,0.040224858,0,0.687599361,0,0,0.787216485,0.687761009,0.560718417,0.806227386,0,0,0,0,0,0,0,0,0.008047384,0.054779489,0.498487532,0,0.547560751,"B",1874.421021,81.19116211
"Cell_1424",0,0,0,0,0,0.631956816,0,0,0,0,0.441110402,0.053753,0,0,0,0,0.818530619,0,0,0.935490668,0.720420003,0.272460401,0.744235158,0,0,0,0,0,0,0,0,0,0,0.597339213,0,0.741372943,"B",1513.587036,87.9752121
"Cell_1425",0,0,0,0,0,0.335064352,0,0,0,0,0.227436751,0,0,0,0,0,0.739265263,0,0,0.721239924,0.708977222,0.189342454,0.659966171,0,0,0,0,0,0,0,0,0,0,0.37984848,0,0.691396594,"B",1526.864014,88.24848175
"Cell_1426",0.084835522,0.02205053,0.027175305,0,0,0.202456459,0,0,0.305334479,0,0.35010305,0.011830288,0,0,0.009371901,0.003560701,0.815325201,0,0,0.846522093,0.8345294,0.572227359,0.676024556,0.092641421,0,0,0,0,0,0,0,0.070684105,0,0.653364003,0.191368923,0.513217509,"B",1555.980957,87.05821991
"Cell_1427",0.039986636,0,0.456250638,0,0,0.401571184,0,0.405947536,0,0.498936087,0.752866864,0.412410319,0,0,0.243663251,0,0.716801047,0,0,0.752416849,0.754150152,0.355026722,0.777240634,0,0,0,0,0,0,0,0,0.135419667,0,0.435732782,0.023530919,0.630961835,"B",1914.358032,88.94191742
"Cell_1428",0,0,0.216475502,0,0,0.755611479,0,0.068904303,0,0.043300375,0.686009169,0.222459018,0,0,0,0,0.595356703,0,0,0.746521533,0.565055668,0.44712764,0.823124588,0,0,0,0,0,0,0,0,0.005342146,0,0.443518311,0,0.662799239,"B",1891.457031,95.86932373
"Cell_1429",0.052547425,0,0.553217411,0,0,0.79072094,0,0.117369927,0,0.04322492,0.619205415,0.130062863,0,0,0.25466463,0,0.769851208,0,0,0.846921921,0.559814811,0.437376529,0.873199821,0,0,0,0,0,0,0,0,0.091552563,0,0.608034492,0.114590317,0.741566062,"B",1944.866943,101.2774963
"Cell_1430",0,0,0,0,0,0.843500793,0,0,0,0,0.593385935,0.054347854,0,0,0.01270297,0,0.809916556,0,0,0.763782799,0.609263539,0.716663897,0.788055837,0,0,0,0,0,0,0,0,0,0,0.569664836,0,0.677803218,"B",1540.604004,103.0780029
"Cell_1431",0,0.13172859,0.490319908,0,0,0.778208852,0,0.345296025,0,0.233166352,0.804433286,0.464520305,0,0,0.251162827,0.206726611,0.839700937,0,0,0.808373392,0.665618062,0.576008797,0.872106791,0,0,0,0.68047291,0.044020642,0,0,0,0.109529532,0.131925315,0.511127353,0,0.559314966,"B",1990.418945,104.3351974
"Cell_1432",0,0,0.644257963,0,0,0.51655972,0,0.420890421,0,0.355694741,0.833759427,0.482119888,0,0,0,0,0.69783777,0,0,0.614254951,0.507688522,0.277647197,0.857706189,0,0,0.058139347,0,0,0,0,0,0.09776587,0.106608175,0.325545907,0,0.724216878,"B",1896.36499,114.4940033
"Cell_1433",0.09933646,0,0.038635273,0,0,0.491692662,0,0.084304564,0,0.083361134,0.485120803,0.061449721,0,0,0.013330751,0,0.712699175,0,0,0.678182065,0.592040658,0.537844718,0.78537178,0.095288105,0,0.171501309,0.405646712,0,0,0,0,0,0,0.64185065,0.12333329,0.661097705,"B",1922.614014,117.0121994
"Cell_1434",0,0,0.513726711,0,0,0.370223105,0,0.557633042,0,0.136418879,0.771826029,0.384153366,0,0,0.06098422,0.567848086,0.76536864,0,0,0.818085849,0.768987656,0.227598533,0.777050316,0,0,0,0,0,0,0,0,0.009040345,0,0.442524761,0,0.372939467,"B",1983.687988,126.9422989
"Cell_1435",0,0,0.261669219,0.669010758,0,0.518401742,0,0.343387097,0.302697629,0.176720485,0.789504051,0.406583309,0,0,0.115554996,0.318964511,0.730590641,0,0,0.682659268,0.499899387,0.405415028,0.837613344,0,0,0,0,0,0,0,0,0,0,0.606911302,0,0.671185076,"B",2041.380981,124.3480988
"Cell_1436",0,0.06997104,0.479398578,0,0,0.343317896,0,0.058766283,0,0.234527528,0.570998728,0.230743155,0,0,0.29889673,0,0.726816356,0,0,0.784024954,0.769925773,0.747061312,0.820860386,0.485318482,0,0,0,0,0,0,0,0.166436046,0,0.621312737,0,0.694087267,"B",1854.155029,130.4333954
"Cell_1437",0,0,0.143239349,0,0,0.430938244,0,0.485239685,0,0.035859849,0.736284673,0.499872297,0,0,0.00245252,0.138683841,0.684060812,0,0,0.74076122,0.792844355,0.343383431,0.818019211,0,0,0,0,0,0,0,0,0,0,0.573394418,0,0.486237317,"B",2020.814941,127.4918976
"Cell_1438",0,0.298800349,0.338549107,0,0.299293965,0.939644516,0,0.458454162,0,0.261710256,0.884175479,0.565050721,0,0,0,0.248586252,0.474812329,0,0,0.787012637,0.648131251,0.912428737,0.953465939,0.799194157,0,0,0,0,0,0,0,0,0,0.662559867,0,0.102609962,"B",1515,129.0760956
"Cell_1439",0.064008862,0,0.74096632,0,0,0.60508126,0,0.631366789,0,0.444925606,0.804315984,0.55389142,0,0,0.337450087,0.055455372,0.787174046,0,0,0.745001435,0.641967952,0.241157949,0.836302757,0,0,0,0,0,0,0,0,0.13655591,0,0.453793555,0.028580442,0.617373288,"B",1965.042969,139.5267944
"Cell_1440",0.118764818,0,0.382433802,0,0,0.824883282,0,0.198914051,0,0.171190143,0.764680803,0.404232651,0,0,0,0,0.775258303,0,0,0.829197884,0.590567589,0.488660336,0.919319928,0.022632789,0,0,0,0,0,0,0,0,0,0.534739912,0.10364674,0.672896922,"B",1915.21106,144.8636017
"Cell_1441",0.247756541,0.180529982,0.406160951,0,0,0.549953818,0,0.045927413,0,0.239597276,0.657830834,0.422777534,0,0,0,0.05605064,0.731711805,0,0,0.755090654,0.59028542,0.806682646,0.806766033,0.807245731,0,0,0,0,0,0,0,0.238399401,0,0.750565112,0,0.78087467,"B",1441.948975,153.0108032
