"Year / Année","Province / Province","CAS Number / Numéro CAS","Substance (English) / Substance (Anglais)","Substance (French) / Substance (Français)","Total - Releases to Air (tonnes) / Total - Rejets dans l'air (tonnes)","Facility Count / Nombres d'installations"
2015,"ON","56-23-5","Carbon tetrachloride","Tétrachlorure de carbone",0.000200000,1
2015,"ON","56-49-5","3-Methylcholanthrene","3-Méthylcholanthrène",0.000114000,2
2015,"ON","56-55-3","Benz[a]anthracene","Benz[a]anthracène",0.163540900,17
2015,"ON","57-97-6","7,12-Dimethylbenz[a]anthracene","7,12-Diméthylbenz[a]anthracène",0.001548800,4
2015,"ON","584-84-9","Toluene-2,4-diisocyanate","Toluène-2,4-diisocyanate",0.000380800,4
2015,"ON","630-08-0","Carbon monoxide","Monoxyde de carbone",67834.149100000,261
2015,"ON","64-18-6","Formic acid","Acide formique",30.937000000,3
2015,"ON","64-75-5","Tetracycline hydrochloride","Chlorhydrate de tétracycline",0.000200000,2
2015,"ON","67-56-1","Methanol","Méthanol",2057.872500000,75
2015,"ON","67-63-0","Isopropyl alcohol","Alcool isopropylique",587.083900000,67
2015,"ON","67-66-3","Chloroform","Chloroforme",0.003900000,1
2015,"ON","68-12-2","n,n-Dimethylformamide","n,n-Diméthylformamide",1.576700000,1
2015,"ON","71-36-3","n-Butyl alcohol","Butan-1-ol",372.851600000,21
2015,"ON","71-43-2","Benzene","Benzène",172.203700000,19
2015,"ON","7429-90-5","Aluminum (fume or dust only)","Aluminium (fumée ou poussière seulement)",14.417600000,5
2015,"ON","7440-62-2","Vanadium (except when in an alloy) and its compounds","Vanadium (sauf lorsqu'il est dans un alliage) et ses composés",4.827500000,20
2015,"ON","7446-09-5","Sulphur dioxide","Dioxyde de soufre",248757.769600000,101
2015,"ON","74-83-9","Bromomethane","Bromométhane",0.000600000,1
2015,"ON","74-85-1","Ethylene","Éthylène",458.330600000,14
2015,"ON","74-87-3","Chloromethane","Chlorométhane",59.057000000,2
2015,"ON","74-90-8","Hydrogen cyanide","Cyanure d'hydrogène",107.070500000,4
2015,"ON","75-01-4","Vinyl chloride","Chlorure de vinyle",0.386100000,2
2015,"ON","75-05-8","Acetonitrile","Acétonitrile",11.366000000,3
2015,"ON","75-07-0","Acetaldehyde","Acétaldéhyde",87.939500000,8
2015,"ON","75-09-2","Dichloromethane","Dichlorométhane",35.493000000,5
2015,"ON","75-15-0","Carbon disulphide","Disulfure de carbone",216.261100000,5
2015,"ON","75-45-6","HCFC-22","HCFC-22",5.800000000,1
2015,"ON","75-69-4","CFC-11","CFC-11",0.000100000,1
2015,"ON","75-71-8","CFC-12","CFC-12",0.000200000,1
2015,"ON","7632-00-0","Sodium nitrite","Nitrite de sodium",0.520100000,1
2015,"ON","7647-01-0","Hydrochloric acid","Acide chlorhydrique",568.961200000,39
2015,"ON","7664-39-3","Hydrogen fluoride","Fluorure d'hydrogène",25.351400000,4
2015,"ON","7664-93-9","Sulphuric acid","Acide sulfurique",1564.744900000,46
2015,"ON","7681-49-4","Sodium fluoride","Fluorure de sodium",0.000600000,1
2015,"ON","7697-37-2","Nitric acid","Acide nitrique",12.564500000,14
2015,"ON","77-73-6","Dicyclopentadiene","Dicyclopentadiène",0.396900000,1
2015,"ON","7782-41-4","Fluorine","Fluor",0.020000000,1
2015,"ON","7782-50-5","Chlorine","Chlore",6.901000000,5
2015,"ON","7783-06-4","Hydrogen sulphide","Sulfure d'hydrogène",347.269800000,20
2015,"ON","7789-75-5","Calcium fluoride","Fluorure de calcium",1.707800000,2
2015,"ON","78-79-5","Isoprene","Isoprène",4.977791900,5
2015,"ON","78-83-1","i-Butyl alcohol","2-Méthylpropan-1-ol",145.094700000,14
2015,"ON","78-87-5","1,2-Dichloropropane","1,2-Dichloropropane",0.000100000,1
2015,"ON","78-93-3","Methyl ethyl ketone","Méthyléthylcétone",973.647300000,60
2015,"ON","79-01-6","Trichloroethylene","Trichloroéthylène",23.128700000,3
2015,"ON","79-21-0","Peracetic acid (and its salts)","Acide peracétique (et ses sels)",19.885300000,3
2015,"ON","80-05-7","Bisphenol A","Bisphénol A",0.000209000,2
2015,"ON","80-62-6","Methyl methacrylate","Méthacrylate de méthyle",27.557300000,4
2015,"ON","83-32-9","Acenaphthene","Acénaphtène",1.183707800,13
2015,"ON","85-01-8","Phenanthrene","Phénanthrène",1.962899600,26
2015,"ON","85-44-9","Phthalic anhydride","Anhydride phtalique",0.090000000,3
2015,"ON","85-68-7","Butyl benzyl phthalate","Phtalate de benzyle et de butyle",0.002000000,1
2015,"ON","86-73-7","Fluorene","Fluorène",0.383467600,17
2015,"ON","872-50-4","N-Methyl-2-pyrrolidone","N-Méthyl-2-pyrrolidone",41.642900000,10
2015,"ON","9016-87-9","Polymeric diphenylmethane diisocyanate","Diisocyanate de diphénylméthane (polymérisé)",0.011000000,6
2015,"ON","91-08-7","Toluene-2,6-diisocyanate","Toluène-2,6-diisocyanate",0.000128600,3
2015,"ON","91-20-3","Naphthalene","Naphtalène",34.830100000,16
2015,"ON","91-22-5","Quinoline","Quinoléine",0.206332800,3
2015,"ON","92-52-4","Biphenyl","Biphényle",3.777300000,5
2015,"ON","94-36-0","Benzoyl peroxide","Peroxyde de benzoyle",0.000100000,1
2015,"ON","95-63-6","1,2,4-Trimethylbenzene","1,2,4-Triméthylbenzène",316.240500000,28
2015,"ON","98-82-8","Cumene","Cumène",0.113900000,4
2015,"ON","NA - 01","Antimony (and its compounds)","Antimoine (et ses composés)",0.202000000,6
2015,"ON","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)",5.877954500,61
2015,"ON","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)",1.252918000,94
2015,"ON","NA - 04","Chromium (and its compounds)","Chrome (et ses composés)",1.890800000,45
2015,"ON","NA - 05","Cobalt (and its compounds)","Cobalt (et ses composés)",2.928100000,24
2015,"ON","NA - 06","Copper (and its compounds)","Cuivre (et ses composés)",85.622900000,69
2015,"ON","NA - 07","Cyanides (ionic)","Cyanures (ioniques)",18.895700000,8
2015,"ON","NA - 08","Lead (and its compounds)","Plomb (et ses composés)",27.596761200,165
2015,"ON","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)",24.607700000,78
2015,"ON","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)",0.644059600,50
2015,"ON","NA - 11","Nickel (and its compounds)","Nickel (et ses composés)",91.771300000,59
2015,"ON","NA - 12","Selenium (and its compounds)","Sélénium (et ses composés)",11.015518000,67
2015,"ON","NA - 13","Silver (and its compounds)","Argent (et ses composés)",0.009500000,6
2015,"ON","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)",67.617100000,82
2015,"ON","NA - 16","Ammonia (total)","Ammoniac (total)",3021.831100000,109
2015,"ON","NA - 17","Nitrate ion in solution at pH >= 6.0","Nitrate (ion en sol. à un pH de >= 6.0)",2.727400000,7
2015,"ON","NA - 19","Hexavalent chromium (and its compounds)","Chrome hexavalent (et ses composés)",0.395857500,49
2015,"ON","NA - 20","Nonylphenol and its ethoxylates","Nonylphénol et ses dérivés éthoxylés",2.083507100,12
2015,"ON","NA - 21","Octylphenol and its ethoxylates","Octylphénol et ses dérivés éthoxylés",0.000000000,1
2015,"ON","NA - 22","Phosphorus (total)","Phosphore (total)",14.944800000,55
2015,"ON","NA - 37","Thallium (and its compounds)","Thallium (et ses composés)",0.108123400,8
2015,"ON","NA - D/F","Dioxins and furans - total","Dioxines et furannes - totales",0.000005706,55
2015,"ON","NA - M08","Total particulate matter","Matière particulaire totale",35101.538100000,274
2015,"ON","NA - M09","PM10 - Particulate Matter <= 10 Micrometers","PM10 - Matière particulaire <= 10 micromètres",19415.946600000,711
2015,"ON","NA - M10","PM2.5 - Particulate Matter <= 2.5 Micrometers","PM2,5 - Matière particulaire <= 2,5 micromètres",9777.500200000,716
2015,"ON","NA - M14","Total reduced sulphur (expressed as hydrogen sulphide)","Soufre réduit total (exprimé sous forme de sulfure d’hydrogène)",757.082500000,23
2015,"ON","NA - M16","Volatile Organic Compounds (VOCs)","Composés organiques volatils (COV)",44111.111000000,477
2015,"ON","NA - P/H","PAHs, total unspeciated","HAP, non différenciés",0.107417300,3
2015,"PE","108-88-3","Toluene","Toluène",8.665000000,1
2015,"PE","110-54-3","n-Hexane","n-Hexane",3.751000000,1
2015,"PE","11104-93-1","Nitrogen oxides (expressed as nitrogen dioxide)","Oxydes d'azote (exprimés en dioxyde d'azote)",213.785000000,5
2015,"PE","118-74-1","Hexachlorobenzene","Hexachlorobenzène",,1
2015,"PE","630-08-0","Carbon monoxide","Monoxyde de carbone",94.268000000,2
2015,"PE","67-56-1","Methanol","Méthanol",6.015000000,1
2015,"PE","7429-90-5","Aluminum (fume or dust only)","Aluminium (fumée ou poussière seulement)",0.013000000,1
2015,"PE","7446-09-5","Sulphur dioxide","Dioxyde de soufre",135.932000000,3
2015,"PE","7647-01-0","Hydrochloric acid","Acide chlorhydrique",3.912000000,1
2015,"PE","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)",0.002506000,1
2015,"PE","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)",0.000730000,1
2015,"PE","NA - 08","Lead (and its compounds)","Plomb (et ses composés)",0.004140000,1
2015,"PE","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)",0.285000000,1
2015,"PE","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)",0.003920000,1
2015,"PE","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)",0.065000000,1
2015,"PE","NA - 16","Ammonia (total)","Ammoniac (total)",17.380000000,2
2015,"PE","NA - 22","Phosphorus (total)","Phosphore (total)",0.341600000,1
2015,"PE","NA - D/F","Dioxins and furans - total","Dioxines et furannes - totales",0.000000002,1
2015,"PE","NA - M08","Total particulate matter","Matière particulaire totale",35.020000000,2
2015,"PE","NA - M09","PM10 - Particulate Matter <= 10 Micrometers","PM10 - Matière particulaire <= 10 micromètres",34.057000000,5
2015,"PE","NA - M10","PM2.5 - Particulate Matter <= 2.5 Micrometers","PM2,5 - Matière particulaire <= 2,5 micromètres",17.078000000,5
2015,"PE","NA - M16","Volatile Organic Compounds (VOCs)","Composés organiques volatils (COV)",205.157000000,3
2015,"QC","100-41-4","Ethylbenzene","Éthylbenzène",16.214600000,12
2015,"QC","100-42-5","Styrene","Styrène",600.226200000,17
2015,"QC","10049-04-4","Chlorine dioxide","Dioxyde de chlore",34.998500000,6
2015,"QC","101-68-8","Methylenebis(phenylisocyanate)","Méthylènebis(phénylisocyanate)",0.280000000,2
2015,"QC","107-13-1","Acrylonitrile","Acrylonitrile",5.838000000,3
2015,"QC","107-21-1","Ethylene glycol","Éthylène glycol",1.091200000,6
2015,"QC","108-05-4","Vinyl acetate","Acétate de vinyle",15.575000000,3
2015,"QC","108-10-1","Methyl isobutyl ketone","Méthylisobutylcétone",46.465400000,15
2015,"QC","108-88-3","Toluene","Toluène",621.822200000,37
2015,"QC","108-95-2","Phenol (and its salts)","Phénol (et ses sels)",79.092600000,8
2015,"QC","110-54-3","n-Hexane","n-Hexane",72.589400000,9
2015,"QC","110-82-7","Cyclohexane","Cyclohexane",2.037700000,4
2015,"QC","11104-93-1","Nitrogen oxides (expressed as nitrogen dioxide)","Oxydes d'azote (exprimés en dioxyde d'azote)",40620.883400000,183
2015,"QC","111-76-2","2-Butoxyethanol","2-Butoxyéthanol",23.967000000,7
2015,"QC","115-07-1","Propylene","Propylène",10.764000000,4
2015,"QC","117-81-7","Bis(2-ethylhexyl) phthalate","Phtalate de bis(2-éthylhexyle)",1.911000000,2
2015,"QC","118-74-1","Hexachlorobenzene","Hexachlorobenzène",0.000443507,37
2015,"QC","120-12-7","Anthracene","Anthracène",0.301000000,6
2015,"QC","123-91-1","1,4-Dioxane","1,4-Dioxane",1.051200000,1
2015,"QC","127-18-4","Tetrachloroethylene","Tétrachloroéthylène",13.431000000,2
2015,"QC","129-00-0","Pyrene","Pyrène",1.410366800,25
2015,"QC","1319-77-3","Cresol (all isomers, and their salts)","Crésol (tous les isomères et leurs sels)",3.730000000,1
2015,"QC","1330-20-7","Xylene (all isomers)","Xylène (tous les isomères)",298.399900000,32
2015,"QC","141-32-2","Butyl acrylate","Acrylate de butyle",0.100000000,2
2015,"QC","1634-04-4","Methyl tert-butyl ether","Oxyde de tert-butyle et de méthyle",4.062600000,2
2015,"QC","189-55-9","Dibenzo[a,i]pyrene","Dibenzo[a,i]pyrène",0.014584300,3
2015,"QC","189-64-0","Dibenzo[a,h]pyrene","Dibenzo[a,h]pyrène",0.000878000,2
2015,"QC","191-24-2","Benzo[ghi]perylene","Benzo[ghi]pérylène",0.030347000,10
2015,"QC","191-30-0","Dibenzo[a,l]pyrene","Dibenzo[a,l]pyrène",0.000000000,1
2015,"QC","192-65-4","Dibenzo[a,e]pyrene","Dibenzo[a,e]pyrène",0.000305000,2
2015,"QC","192-97-2","Benzo[e]pyrene","Benzo[e]pyrène",0.058517300,9
2015,"QC","193-39-5","Indeno[1,2,3-cd]pyrene","Indeno[1,2,3-cd] pyrène",0.029910700,10
2015,"QC","194-59-2","7H-Dibenzo[c,g]carbazole","7H-Dibenzo[c,g]carbazole",0.000000000,1
2015,"QC","198-55-0","Perylene","Pérylène",0.000100100,2
2015,"QC","205-82-3","Benzo[j]fluoranthene","Benzo[j]fluoranthène",0.048265500,9
2015,"QC","205-99-2","Benzo[b]fluoranthene","Benzo[b]fluoranthène",0.095895800,12
2015,"QC","206-44-0","Fluoranthene","Fluoranthène",2.780708000,24
2015,"QC","207-08-9","Benzo[k]fluoranthene","Benzo[k]fluoranthène",0.050728900,10
2015,"QC","208-96-8","Acenaphthylene","Acénaphtylène",0.588038400,16
2015,"QC","218-01-9","Chrysene","Chrysène",0.196930000,13
2015,"QC","224-42-0","Dibenz[a,j]acridine","Dibenz[a,j]acridine",0.000000000,1
2015,"QC","226-36-8","Dibenz[a,h]acridine","Dibenz[a,h]acridine",0.000071000,2
2015,"QC","26471-62-5","Toluenediisocyanate (mixed isomers)","Toluènediisocyanate (mélange d'isomères)",0.014802000,4
2015,"QC","302-01-2","Hydrazine (and its salts)","Hydrazine (et ses sels)",0.001540000,1
2015,"QC","3697-24-3","5-Methylchrysene","5-Méthylchrysène",0.000493800,1
2015,"QC","463-58-1","Carbonyl sulphide","Sulfure de carbonyle",2242.121600000,9
2015,"QC","50-00-0","Formaldehyde","Formaldéhyde",263.571300000,24
2015,"QC","50-32-8","Benzo[a]pyrene","Benzo[a]pyrène",0.049245700,13
2015,"QC","53-70-3","Dibenz[a,h]anthracene","Dibenz[a,h]anthracène",0.017161100,8
2015,"QC","5385-75-1","Dibenzo[a,e]fluoranthene","Dibenzo[a,e]fluoranthène",0.000218300,2
2015,"QC","5522-43-0","1-Nitropyrene","1-Nitropyrène",0.000056100,1
2015,"QC","56-49-5","3-Methylcholanthrene","3-Méthylcholanthrène",0.000000000,1
2015,"QC","56-55-3","Benz[a]anthracene","Benz[a]anthracène",0.145333200,16
2015,"QC","57-97-6","7,12-Dimethylbenz[a]anthracene","7,12-Diméthylbenz[a]anthracène",0.000000000,1
2015,"QC","584-84-9","Toluene-2,4-diisocyanate","Toluène-2,4-diisocyanate",0.189259000,1
2015,"QC","630-08-0","Carbon monoxide","Monoxyde de carbone",407542.181500000,192
2015,"QC","67-56-1","Methanol","Méthanol",2105.935500000,56
2015,"QC","67-63-0","Isopropyl alcohol","Alcool isopropylique",140.477000000,25
2015,"QC","67-66-3","Chloroform","Chloroforme",26.186000000,2
2015,"QC","71-36-3","n-Butyl alcohol","Butan-1-ol",9.252200000,5
2015,"QC","71-43-2","Benzene","Benzène",18.265800000,8
2015,"QC","7429-90-5","Aluminum (fume or dust only)","Aluminium (fumée ou poussière seulement)",33.309000000,3
2015,"QC","7440-62-2","Vanadium (except when in an alloy) and its compounds","Vanadium (sauf lorsqu'il est dans un alliage) et ses composés",0.400400000,3
2015,"QC","7446-09-5","Sulphur dioxide","Dioxyde de soufre",108001.037900000,101
2015,"QC","74-85-1","Ethylene","Éthylène",4.504000000,2
2015,"QC","75-05-8","Acetonitrile","Acétonitrile",0.490000000,1
2015,"QC","75-07-0","Acetaldehyde","Acétaldéhyde",114.808200000,11
2015,"QC","75-09-2","Dichloromethane","Dichlorométhane",1.641600000,2
2015,"QC","7550-45-0","Titanium tetrachloride","Tétrachlorure de titane",6.000000000,1
2015,"QC","7647-01-0","Hydrochloric acid","Acide chlorhydrique",712.570100000,26
2015,"QC","7664-39-3","Hydrogen fluoride","Fluorure d'hydrogène",958.957000000,12
2015,"QC","7664-93-9","Sulphuric acid","Acide sulfurique",444.569900000,20
2015,"QC","7697-37-2","Nitric acid","Acide nitrique",0.022800000,2
2015,"QC","7726-95-6","Bromine","Brome",13.544000000,1
2015,"QC","77-73-6","Dicyclopentadiene","Dicyclopentadiène",0.400000000,1
2015,"QC","7782-50-5","Chlorine","Chlore",38.445800000,9
2015,"QC","7783-06-4","Hydrogen sulphide","Sulfure d'hydrogène",94.999600000,6
2015,"QC","7789-75-5","Calcium fluoride","Fluorure de calcium",17.986000000,3
2015,"QC","78-83-1","i-Butyl alcohol","2-Méthylpropan-1-ol",35.353700000,4
2015,"QC","78-93-3","Methyl ethyl ketone","Méthyléthylcétone",131.662400000,18
2015,"QC","79-01-6","Trichloroethylene","Trichloroéthylène",12.723000000,3
2015,"QC","79-10-7","Acrylic acid (and its salts)","Acide acrylique (et ses sels)",0.003000000,1
2015,"QC","80-05-7","Bisphenol A","Bisphénol A",0.028416000,1
2015,"QC","80-62-6","Methyl methacrylate","Méthacrylate de méthyle",19.656000000,5
2015,"QC","83-32-9","Acenaphthene","Acénaphtène",1.040871200,9
2015,"QC","85-01-8","Phenanthrene","Phénanthrène",11.585749700,27
2015,"QC","86-73-7","Fluorene","Fluorène",4.523654900,21
2015,"QC","9016-87-9","Polymeric diphenylmethane diisocyanate","Diisocyanate de diphénylméthane (polymérisé)",0.000000000,1
2015,"QC","91-20-3","Naphthalene","Naphtalène",5.669000000,5
2015,"QC","91-22-5","Quinoline","Quinoléine",0.079000000,1
2015,"QC","924-42-5","N-Methylolacrylamide","N-Méthylolacrylamide",0.003000000,1
2015,"QC","95-63-6","1,2,4-Trimethylbenzene","1,2,4-Triméthylbenzène",17.222800000,12
2015,"QC","NA - 01","Antimony (and its compounds)","Antimoine (et ses composés)",0.020000000,3
2015,"QC","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)",27.553558600,34
2015,"QC","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)",1.437183900,50
2015,"QC","NA - 04","Chromium (and its compounds)","Chrome (et ses composés)",3.825000000,12
2015,"QC","NA - 05","Cobalt (and its compounds)","Cobalt (et ses composés)",0.113200000,5
2015,"QC","NA - 06","Copper (and its compounds)","Cuivre (et ses composés)",103.652600000,14
2015,"QC","NA - 08","Lead (and its compounds)","Plomb (et ses composés)",80.588323500,69
2015,"QC","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)",19.819000000,31
2015,"QC","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)",0.343637600,40
2015,"QC","NA - 11","Nickel (and its compounds)","Nickel (et ses composés)",2.594400000,8
2015,"QC","NA - 12","Selenium (and its compounds)","Sélénium (et ses composés)",3.986696500,26
2015,"QC","NA - 13","Silver (and its compounds)","Argent (et ses composés)",0.428900000,3
2015,"QC","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)",167.017800000,23
2015,"QC","NA - 16","Ammonia (total)","Ammoniac (total)",1152.744400000,43
2015,"QC","NA - 19","Hexavalent chromium (and its compounds)","Chrome hexavalent (et ses composés)",0.051884900,25
2015,"QC","NA - 20","Nonylphenol and its ethoxylates","Nonylphénol et ses dérivés éthoxylés",0.089528100,4
2015,"QC","NA - 22","Phosphorus (total)","Phosphore (total)",5.862200000,28
2015,"QC","NA - 37","Thallium (and its compounds)","Thallium (et ses composés)",0.000203000,1
2015,"QC","NA - D/F","Dioxins and furans - total","Dioxines et furannes - totales",0.000004040,40
2015,"QC","NA - M08","Total particulate matter","Matière particulaire totale",26749.506600000,213
2015,"QC","NA - M09","PM10 - Particulate Matter <= 10 Micrometers","PM10 - Matière particulaire <= 10 micromètres",13459.934000000,383
2015,"QC","NA - M10","PM2.5 - Particulate Matter <= 2.5 Micrometers","PM2,5 - Matière particulaire <= 2,5 micromètres",7723.795300000,384
2015,"QC","NA - M14","Total reduced sulphur (expressed as hydrogen sulphide)","Soufre réduit total (exprimé sous forme de sulfure d’hydrogène)",1605.953500000,16
2015,"QC","NA - M16","Volatile Organic Compounds (VOCs)","Composés organiques volatils (COV)",21146.817300000,319
2015,"QC","NA - P/H","PAHs, total unspeciated","HAP, non différenciés",1.461842200,16
2015,"SK","100-41-4","Ethylbenzene","Éthylbenzène",34.745400000,5
2015,"SK","107-13-1","Acrylonitrile","Acrylonitrile",0.079800000,1
2015,"SK","108-88-3","Toluene","Toluène",135.717500000,12
2015,"SK","108-95-2","Phenol (and its salts)","Phénol (et ses sels)",14.400000000,1
2015,"SK","110-54-3","n-Hexane","n-Hexane",973.316800000,26
2015,"SK","110-82-7","Cyclohexane","Cyclohexane",34.077100000,9
2015,"SK","11104-93-1","Nitrogen oxides (expressed as nitrogen dioxide)","Oxydes d'azote (exprimés en dioxyde d'azote)",53382.029200000,172
2015,"SK","111-76-2","2-Butoxyethanol","2-Butoxyéthanol",0.004100000,1
2015,"SK","115-07-1","Propylene","Propylène",7.440000000,1
2015,"SK","118-74-1","Hexachlorobenzene","Hexachlorobenzène",0.000422759,9
2015,"SK","120-12-7","Anthracene","Anthracène",8.980000000,1
2015,"SK","129-00-0","Pyrene","Pyrène",0.014668500,6
2015,"SK","1330-20-7","Xylene (all isomers)","Xylène (tous les isomères)",130.954500000,15
2015,"SK","191-24-2","Benzo[ghi]perylene","Benzo[ghi]pérylène",0.001383200,5
2015,"SK","192-97-2","Benzo[e]pyrene","Benzo[e]pyrène",0.000755600,2
2015,"SK","193-39-5","Indeno[1,2,3-cd]pyrene","Indeno[1,2,3-cd] pyrène",0.000476200,6
2015,"SK","198-55-0","Perylene","Pérylène",0.000000500,1
2015,"SK","205-82-3","Benzo[j]fluoranthene","Benzo[j]fluoranthène",0.000000000,1
2015,"SK","205-99-2","Benzo[b]fluoranthene","Benzo[b]fluoranthène",0.000033000,5
2015,"SK","206-44-0","Fluoranthene","Fluoranthène",0.018969800,6
2015,"SK","207-08-9","Benzo[k]fluoranthene","Benzo[k]fluoranthène",0.000254000,6
2015,"SK","208-96-8","Acenaphthylene","Acénaphtylène",0.025237400,5
2015,"SK","218-01-9","Chrysene","Chrysène",0.001301500,5
2015,"SK","463-58-1","Carbonyl sulphide","Sulfure de carbonyle",29.078000000,2
2015,"SK","50-00-0","Formaldehyde","Formaldéhyde",31.220300000,4
2015,"SK","50-32-8","Benzo[a]pyrene","Benzo[a]pyrène",0.010471200,5
2015,"SK","53-70-3","Dibenz[a,h]anthracene","Dibenz[a,h]anthracène",0.000062500,5
2015,"SK","56-55-3","Benz[a]anthracene","Benz[a]anthracène",0.003428700,6
2015,"SK","630-08-0","Carbon monoxide","Monoxyde de carbone",34747.060800000,175
2015,"SK","67-56-1","Methanol","Méthanol",226.010000000,7
2015,"SK","67-63-0","Isopropyl alcohol","Alcool isopropylique",2.660000000,1
2015,"SK","71-36-3","n-Butyl alcohol","Butan-1-ol",3.299000000,2
2015,"SK","71-43-2","Benzene","Benzène",27.443800000,10
2015,"SK","7440-62-2","Vanadium (except when in an alloy) and its compounds","Vanadium (sauf lorsqu'il est dans un alliage) et ses composés",1.100000000,1
2015,"SK","7446-09-5","Sulphur dioxide","Dioxyde de soufre",113801.794200000,108
2015,"SK","74-85-1","Ethylene","Éthylène",18.690000000,1
2015,"SK","75-07-0","Acetaldehyde","Acétaldéhyde",55.557300000,2
2015,"SK","75-09-2","Dichloromethane","Dichlorométhane",1.300000000,1
2015,"SK","75-15-0","Carbon disulphide","Disulfure de carbone",16.710000000,1
2015,"SK","7647-01-0","Hydrochloric acid","Acide chlorhydrique",138.400000000,5
2015,"SK","7664-39-3","Hydrogen fluoride","Fluorure d'hydrogène",363.000000000,3
2015,"SK","7664-93-9","Sulphuric acid","Acide sulfurique",4.648000000,2
2015,"SK","7782-50-5","Chlorine","Chlore",0.000100000,1
2015,"SK","7783-06-4","Hydrogen sulphide","Sulfure d'hydrogène",417.484400000,11
2015,"SK","78-93-3","Methyl ethyl ketone","Méthyléthylcétone",9.866000000,3
2015,"SK","83-32-9","Acenaphthene","Acénaphtène",0.000022400,4
2015,"SK","85-01-8","Phenanthrene","Phénanthrène",0.026412700,6
2015,"SK","86-73-7","Fluorene","Fluorène",0.008019700,4
2015,"SK","91-20-3","Naphthalene","Naphtalène",13.450000000,1
2015,"SK","91-22-5","Quinoline","Quinoléine",0.004890300,1
2015,"SK","92-52-4","Biphenyl","Biphényle",1.100300000,1
2015,"SK","94-36-0","Benzoyl peroxide","Peroxyde de benzoyle",0.004100000,1
2015,"SK","95-63-6","1,2,4-Trimethylbenzene","1,2,4-Triméthylbenzène",73.584000000,5
2015,"SK","NA - 02","Arsenic (and its compounds)","Arsenic (et ses composés)",0.326239200,10
2015,"SK","NA - 03","Cadmium (and its compounds)","Cadmium (et ses composés)",0.027128100,8
2015,"SK","NA - 04","Chromium (and its compounds)","Chrome (et ses composés)",0.010000000,1
2015,"SK","NA - 06","Copper (and its compounds)","Cuivre (et ses composés)",0.010000000,2
2015,"SK","NA - 08","Lead (and its compounds)","Plomb (et ses composés)",0.642366500,12
2015,"SK","NA - 09","Manganese (and its compounds)","Manganèse (et ses composés)",1.026400000,4
2015,"SK","NA - 10","Mercury (and its compounds)","Mercure (et ses composés)",0.477557900,6
2015,"SK","NA - 11","Nickel (and its compounds)","Nickel (et ses composés)",0.571000000,2
2015,"SK","NA - 12","Selenium (and its compounds)","Sélénium (et ses composés)",0.680531400,10
2015,"SK","NA - 14","Zinc (and its compounds)","Zinc (et ses composés)",22.399600000,6
2015,"SK","NA - 16","Ammonia (total)","Ammoniac (total)",1042.657000000,9
2015,"SK","NA - 19","Hexavalent chromium (and its compounds)","Chrome hexavalent (et ses composés)",0.000001800,1
2015,"SK","NA - 20","Nonylphenol and its ethoxylates","Nonylphénol et ses dérivés éthoxylés",0.001979000,1
2015,"SK","NA - 22","Phosphorus (total)","Phosphore (total)",8.149000000,3
2015,"SK","NA - 37","Thallium (and its compounds)","Thallium (et ses composés)",0.032000000,3
2015,"SK","NA - D/F","Dioxins and furans - total","Dioxines et furannes - totales",0.000000790,9
2015,"SK","NA - M08","Total particulate matter","Matière particulaire totale",28144.073800000,119
2015,"SK","NA - M09","PM10 - Particulate Matter <= 10 Micrometers","PM10 - Matière particulaire <= 10 micromètres",9413.008400000,471
2015,"SK","NA - M10","PM2.5 - Particulate Matter <= 2.5 Micrometers","PM2,5 - Matière particulaire <= 2,5 micromètres",4209.444100000,555
2015,"SK","NA - M14","Total reduced sulphur (expressed as hydrogen sulphide)","Soufre réduit total (exprimé sous forme de sulfure d’hydrogène)",280.216100000,9
2015,"SK","NA - M16","Volatile Organic Compounds (VOCs)","Composés organiques volatils (COV)",13164.681399000,86
2015,"SK","NA - P/H","PAHs, total unspeciated","HAP, non différenciés",0.000037000,3
2015,"YT","11104-93-1","Nitrogen oxides (expressed as nitrogen dioxide)","Oxydes d'azote (exprimés en dioxyde d'azote)",59.372100000,2
2015,"YT","118-74-1","Hexachlorobenzene","Hexachlorobenzène",,1
2015,"YT","630-08-0","Carbon monoxide","Monoxyde de carbone",29.312500000,1
2015,"YT","NA - D/F","Dioxins and furans - total","Dioxines et furannes - totales",,1
