Reference Year,GHGRP ID No.,Facility Province or Territory,CO2 tonnes,CH4 tonnes,N2O tonnes,SF6 tonnes,HFC Total tonnes CO2e,PFC Total tonnes CO2e
2022,G10099,New Brunswick,30784.2612,328.6605,32.2535,0.0,0.0,0.0
2022,G10100,Alberta,162333.8582,676.1998,8.53808,0.0,0.0,0.0
2022,G10101,Northwest Territories,163698.04,6.755129,3.745805,0.0,0.0,0.0
2022,G10103,Quebec,118703.115,71.312827,1.553998,0.0,28.38764,0.0
2022,G10104,British Columbia,374464.7707,841.1882,9.76056,0.0,0.0,0.0
2022,G10105,British Columbia,273747.9004,7435.87145,32.5361,0.0011,0.0,0.0
2022,G10106,Alberta,177454.3468,166.04917,4.62299,0.0,0.0,0.0
2022,G10107,Alberta,70816.1086,118.8796,1.3024,0.0,0.0,0.0
2022,G10108,Alberta,225225.4279,121.1473,4.0605,0.0,0.0,0.0
2022,G10111,Alberta,179411.3966,1.159,1.0175,0.0,0.0,0.0
2022,G10112,Alberta,1174773.913,6.1248,5.5437,0.0,0.0,0.0
2022,G10113,Manitoba,106603.2035,0.81107,0.4961,0.0,0.0,0.0
2022,G10114,Ontario,419409.2916,4.484967,2.578523,0.0,0.0,0.0
2022,G10115,British Columbia,468323.6889,11508.7307,58.0863,0.0,0.0,0.0
2022,G10117,British Columbia,383276.019,97.110325,3.129156,0.0,0.0,0.0
2022,G10118,British Columbia,193127.2271,49.259164,4.935805,0.0,0.0,0.0
2022,G10119,Alberta,281118.1962,46.77526,3.9804,0.0,0.0,0.0
2022,G10120,Alberta,447877.3515,30.756161,8.772778,0.0012,0.0,0.0
2022,G10121,Alberta,664936.4895,118.51037,7.46144,0.0,0.0,0.0
2022,G10122,Alberta,109653.5972,12.3087,3.6983,0.0,0.0,0.0
2022,G10125,Alberta,59583.1416,406.5162,0.0025,0.0,0.0,0.0
2022,G10126,British Columbia,83363.05224,973.461481,14.487061,0.0,0.0,0.0
2022,G10127,Alberta,8694949.048,122.4951,153.6589,0.0,0.0,0.0
2022,G10128,Ontario,123596.3076,1.58617,1.42958,0.0,17.1002,0.0
2022,G10130,Alberta,116108.1694,1389.1079,19.5204,0.0,58.2247,0.0
2022,G10131,British Columbia,265507.2909,7981.8376,25.195271,0.0,0.0,0.0
2022,G10133,Ontario,202056.196,0.1,0.089,0.0,0.0,0.0
2022,G10134,Alberta,205163.6689,30.4914,3.6527,0.0,0.0,0.0
2022,G10135,Alberta,153082.8964,4.3614,1.4,0.0,0.0,0.0
2022,G10136,British Columbia,131828.7672,116.1405,31.4059,0.0,86.7642,0.0
2022,G10137,Alberta,353634.3684,422.15552,20.72275,0.0,0.0,0.0
2022,G10138,New Brunswick,65109.57312,1.18206,0.3689,0.0,0.0,0.0
2022,G10139,Alberta,35635.376,40.384,1.3,0.0,0.0,0.0
2022,G10140,Manitoba,29148.782,1.302,2.058,0.0,0.0,0.0
2022,G10141,Ontario,11293.464,0.26164,0.2,0.0,0.0,0.0
2022,G10142,Newfoundland and Labrador,440023.0475,470.861598,9.355807,0.0,0.0,0.0
2022,G10143,Alberta,5865.477,0.15992,0.45005,0.0,0.0,0.0
2022,G10144,Alberta,195373.039,1037.4566,17.163265,0.0,0.0,0.0
2022,G10145,Newfoundland and Labrador,651767.24,6.87,12.97,0.0,0.0,0.0
2022,G10146,British Columbia,99466.7327,143.1483,35.74,0.0,0.0,0.0
2022,G10147,Saskatchewan,1048279.266,2035.90685,13.08511,0.0,0.0,0.0
2022,G10148,Quebec,105113.504,5.7002,1.1136,0.0,0.0,0.0
2022,G10149,Ontario,88049.565,0.924,0.82,0.0027,0.0,0.0
2022,G10150,Saskatchewan,242498.4708,3.343241,2.521595,0.0,0.0,0.0
2022,G10151,Ontario,1615.888,0.322692,0.038766,0.0,0.0,0.0
2022,G10152,Alberta,113043.1353,3.2563,2.1056,0.0,0.0,0.0
2022,G10154,Quebec,9974.42,0.0524,0.2006,0.0,0.0,0.0
2022,G10155,Alberta,46459.88403,276.44011,1.95154,0.0,0.0,0.0
2022,G10157,British Columbia,91066.54,52.42351,26.1288,0.0,0.0,0.0
2022,G10158,Alberta,69089.434,154.35,17.05,0.0,0.0,0.0
2022,G10159,Alberta,160750.6901,358.0803,10.02116,0.0,0.0,0.0
2022,G10160,Alberta,307263.801,208.703049,4.589072,0.0,0.0,0.0
2022,G10161,Ontario,89.045,18739.7931,0.059,0.0,0.0,0.0
2022,G10162,Alberta,2672197.84,51.987002,14.136998,0.0,0.0,0.0
2022,G10163,Ontario,857564.586,6705.032,22.041,0.0,0.0,0.0
2022,G10164,Ontario,30661.36974,1.327386,0.455337,0.0,0.0,0.0
2022,G10165,Ontario,43929.621,11.4265,1.1521,0.0,0.0,0.0
2022,G10168,Quebec,187031.3623,2.15243,2.1017,0.0,0.0,0.0
2022,G10169,Quebec,58771.7,30.1956,8.175,0.0,0.0,0.0
2022,G10170,British Columbia,470066.24,3.37903,1.997734,0.0,0.0,0.0
2022,G10171,Ontario,645206.23,19.6964,3.5132,0.0,0.0,0.0
2022,G10176,Alberta,529910.8427,39.123,2.6312,0.0,0.0,0.0
2022,G10177,Ontario,101526.75,13.77,2.21,0.0,0.0,0.0
2022,G10178,Nova Scotia,2101436.957,20.281271,26.896702,0.1006,0.0,0.0
2022,G10179,Alberta,830105.07,58.61,19.65,0.0,0.0,0.0
2022,G10180,Alberta,415345.2438,117.650695,4.842318,0.0,0.0,0.0
2022,G10182,Manitoba,72468.588,200.592017,23.30004,0.0,0.0,0.0
2022,G10183,Quebec,191293.953,6.26011,2.28757,0.0,0.0,0.0
2022,G10184,British Columbia,528319.45,37.578215,13.324461,0.0,0.0,0.0
2022,G10185,British Columbia,119717.9855,162.033696,0.606698,0.0,0.0,0.0
2022,G10186,Saskatchewan,885176.6136,227.440632,22.633791,0.0,0.0,0.0
2022,G10187,Alberta,12939949.14,11438.8255,214.9633,0.0,647.27,0.0
2022,G10188,Quebec,267419.249,13.9851,95.417,0.0,0.0,0.0
2022,G10191,Ontario,468038.9656,169.499123,8.022406,0.0,0.0,0.0
2022,G10192,Ontario,990920.4858,138.9435,8.2401,0.0,0.0,0.0
2022,G10193,Ontario,564.9591,5108.97138,0.01821,0.0,0.0,0.0
2022,G10195,Saskatchewan,709241.949,138.6162,16.1771,0.0,0.0,0.0
2022,G10196,Alberta,1404994.491,76.3578,26.1508,0.0,0.0,0.0
2022,G10199,Ontario,1140309.019,301.2015,15.7941,0.0,0.0,0.0
2022,G10203,Ontario,1931.363,0.45323,0.04831,0.0,0.0,0.0
2022,G10204,Northwest Territories,67882.54668,62.185225,1.489803,0.0,0.0,0.0
2022,G10206,Newfoundland and Labrador,46649.0,29.6,1.9217,0.0,0.0,0.0
2022,G10207,British Columbia,218865.595,77.5329,29.1046,0.0,0.0,0.0
2022,G10208,Ontario,741007.8904,189.245512,17.930802,0.0,0.0,0.0
2022,G10209,Ontario,99424.4192,19.0909,1.2642,0.0,206.83,0.0
2022,G10210,Ontario,63111.44765,4.303418,1.127779,0.0,0.0,0.0
2022,G10211,Alberta,3297589.655,291.4752,42.7763,0.0,150.18,0.0
2022,G10213,Ontario,91545.303,1.825,1.542,0.0,0.0,0.0
2022,G10215,Ontario,29559.02983,7.660956,0.766517,0.0,0.0,0.0
2022,G10217,Quebec,39346.0,383.5724,1.8743,0.0,6.11673,0.0
2022,G10219,Alberta,178560.1422,152.886024,1.334617,0.0,0.0,0.0
2022,G10220,Alberta,196504.9728,114.173525,11.255032,0.0,0.0,0.0
2022,G10221,Quebec,72597.0,1.02,0.91,0.0,0.0,0.0
2022,G10223,Ontario,672432.6588,24.1638,1.8312,0.0,0.0,0.0
2022,G10225,British Columbia,419322.89,379.43,3.31,0.0,0.0,0.0
2022,G10226,British Columbia,1012376.478,3063.721,27.0061,0.0,0.0,0.0
2022,G10227,Nova Scotia,976754.1735,24.323592,7.19682,0.0,0.0,0.0
2022,G10228,Nova Scotia,610520.6619,6.350404,7.792338,0.0067,0.0,0.0
2022,G10229,Saskatchewan,3668310.853,164.456778,90.904672,0.0,0.0,0.0
2022,G10230,British Columbia,5876.1103,0.1422,3.2853,0.0,0.0,0.0
2022,G10232,Alberta,148752.516,15.7739,1.8274,0.0,0.0,0.0
2022,G10234,British Columbia,134273.5646,38.993126,1.56149,0.0,0.0,0.0
2022,G10235,Alberta,26713.15,124.218,2.74,0.0,0.0,0.0
2022,G10236,Saskatchewan,1218897.975,313.713972,31.371396,0.0,0.0,0.0
2022,G10237,Alberta,79039.2125,66.7994,3.2831,0.0,0.0,0.0
2022,G10238,Quebec,1126882.21,136.551,13.827,0.0,0.0,0.0
2022,G10239,Quebec,1269602.0,54.53824,13.9624,0.005,0.0,0.0
2022,G10240,Quebec,128077.8739,28.591741,1.405269,0.000545,0.0,0.0
2022,G10241,Alberta,330865.0273,19.9572,7.0992,0.0,0.0,0.0
2022,G10243,Alberta,272594.4573,184.4145,4.9857,0.0,0.0,0.0
2022,G10244,Manitoba,239768.8581,3161.6747,6.1711,0.0,0.0,0.0
2022,G10246,Alberta,195418.9224,13.31158,4.29,0.0,0.0,0.0
2022,G10247,New Brunswick,2923523.75,1178.7147,29.57363,0.0,0.0,0.0
2022,G10248,Saskatchewan,161667.4535,613.1512,4.1263,0.0,0.0,0.0
2022,G10249,Alberta,335967.12,281.05531,7.94412,0.0,0.0,0.0
2022,G10250,Ontario,280117.6347,112.031466,5.07638,0.0,0.0,0.0
2022,G10251,Ontario,375822.9939,95.5987,9.5698,0.0,0.0,0.0
2022,G10252,Ontario,187172.6123,15.191812,2.933713,0.0,0.0,0.0
2022,G10253,Ontario,712281.3549,298.2008,7.109299,0.0,41.264551,0.0
2022,G10254,Ontario,733013.8643,112.324265,14.305811,0.0,0.0,0.0
2022,G10255,Ontario,1503831.316,509.061029,19.069196,0.0,0.0,0.0
2022,G10256,Ontario,1094982.21,283.516682,28.351668,0.0,0.0,0.0
