"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","centroidX","centroidY"
"Cell_406",0,0,0,0,0,0.724901438,0,0,0,0,0.496035337,0.018718665,0,0,0,0,0.678260386,0,0,0.647476614,0.580966473,0.419532925,0.500760257,0,0,0,0,0,0,0,0,0,0,0.247024879,0,0,999.7561035,1813.828979
"Cell_407",0,0,0,0,0,0.64732635,0,0.067157477,0,0.044305693,0.503266573,0.031211268,0,0,0,0,0.751752794,0,0,0.739728272,0.60987407,0.284073621,0.579970539,0,0,0,0,0,0,0,0,0,0,0.396668971,0,0,1076.135986,1813.162964
"Cell_408",0,0,0,0,0,0.7430318,0,0.077140696,0,0,0.524957716,0.011400937,0,0,0,0,0.727317154,0,0,0.819238544,0.703869045,0.359545439,0.520552576,0,0,0,0,0,0,0,0,0,0,0.466435224,0,0,1277.129028,1813.446045
"Cell_409",0,0,0,0,0,0.641370654,0,0.238511592,0,0.003907233,0.534031153,0.155997649,0,0,0,0.213688105,0.7906968,0,0,0.806486547,0.739722192,0.467546046,0.42785868,0,0,0,0,0,0,0,0,0,0,0.4302122,0,0,1499.08606,1815.802979
"Cell_410",0,0,0,0,0,0.982208192,0,0,0,0,0.685963631,0.114687391,0,0,0,0.188791618,0.685634434,0,0,0.643613458,0.510249197,0.710636914,0.626298964,0,0,0,0,0,0,0,0,0,0,0.413698494,0,0,951.1403809,1814.100952
"Cell_411",0,0,0,0,0,0.708248019,0,0.163660124,0,0,0.652522802,0.503879249,0,0,0,0,0.695035338,0,0,0.691417098,0.640694201,0.321820289,0.608904183,0,0,0,0,0,0,0,0,0,0,0.361605734,0,0,974.2642822,1814.729004
"Cell_412",0,0,0,0,0,0.874741614,0,0.062457867,0,0.011451262,0.743310809,0.329871386,0,0,0,0.131008714,0.764951348,0,0,0.776070833,0.596672118,0.512879431,0.56395328,0,0,0,0,0,0,0,0,0,0,0.463758051,0,0,1443.579956,1815.123047
"Cell_413",0,0,0,0,0,0.916703105,0,0,0,0,0.616641998,0,0,0,0,0,0.656418383,0,0,0.682307959,0.546803951,0.596776783,0.74544239,0,0,0,0,0,0,0,0,0,0,0.444833517,0,0,1191.467041,1816.948975
"Cell_414",0,0,0,0,0,0.628393114,0,0.321307898,0,0.076081507,0.605490863,0.07719817,0,0,0,0,0.693934262,0,0,0.738333344,0.621851861,0.421366781,0.473571926,0,0,0.01418046,0,0,0,0,0.112326458,0,0,0.359065801,0,0,1379.621948,1817.60498
"Cell_415",0,0,0,0,0,0.549556553,0,0.128852412,0,0.072797231,0.519748986,0.286893129,0,0,0,0.004420557,0.768224239,0,0,0.790595055,0.655377209,0.235347375,0.538873196,0,0,0.011715459,0,0,0,0,0.049777761,0,0,0.440433115,0,0,1419.071045,1819.777954
"Cell_416",0,0,0,0,0,0.631683707,0,0.340718061,0,0,0.635240495,0.569896519,0,0,0,0,0.732254744,0,0,0.664951265,0.530783951,0.195313305,0.572350502,0,0,0.152053267,0,0,0,0,0,0,0,0.328172892,0,0,798,1817.974976
"Cell_417",0,0,0,0,0,0.96227926,0,0.108313456,0,0,0.727316856,0.321125418,0,0,0,0,0.628819287,0,0,0.60547334,0.517677724,0.620316386,0.633628666,0,0,0,0,0,0,0,0,0,0,0.356360018,0,0,1129.579956,1817.521973
"Cell_418",0,0,0,0,0,0.719214737,0,0,0,0,0.423348457,0.054138165,0,0,0,0,0.759694397,0,0,0.803647995,0.716715872,0.37579155,0.501682043,0,0,0,0,0,0,0,0,0,0,0.487845302,0,0,1220.425049,1820.269043
"Cell_419",0,0,0,0,0,0.652418971,0,0.105525099,0,0.351859331,0.795955837,0.48347351,0,0,0,0,0.664821982,0,0,0.679965436,0.579927683,0.416755646,0.485915631,0,0,0,0,0,0,0,0,0,0.865321219,0.305668563,0,0,1045.516968,1821.317017
"Cell_420",0,0,0,0,0,0.763331175,0,0.014004127,0,0,0.619382203,0.260531008,0,0,0,0,0.74836421,0,0,0.714995444,0.58712244,0.362689614,0.614660025,0,0,0,0,0,0,0,0,0,0,0.423501164,0,0,1151.535034,1820.952026
"Cell_421",0,0,0,0,0,0.874324203,0,0,0,0,0.515239298,0.038791683,0,0,0,0,0.720366597,0,0,0.769310832,0.661852896,0.534971774,0.558939219,0,0,0,0,0,0,0,0,0,0,0.489214629,0,0,1294.067017,1821.266968
"Cell_422",0,0,0,0,0,0.63534677,0,0.027999794,0,0,0.49189198,0.136330083,0,0,0,0.076497912,0.757343173,0,0,0.761126399,0.6401968,0.447048008,0.549355865,0,0,0,0,0,0,0,0,0,0.004766843,0.3593404,0,0,923.4434814,1822.489014
"Cell_423",0,0,0,0,0,0.676331878,0,0,0,0,0.450631082,0.079754055,0,0,0,0,0.752605677,0,0,0.737179756,0.595309794,0.411988944,0.564888,0,0,0,0,0,0,0,0,0,0,0.379839361,0,0,988.7243042,1821.774048
"Cell_424",0,0,0,0,0,0.847673118,0,0.018630655,0.072504908,0,0.700827181,0.144710943,0,0,0,0,0.849416554,0,0,0.787715971,0.56191349,0.444329798,0.5735811,0,0,0,0,0,0,0,0,0,0,0.473482788,0,0.040686876,1975.439941,1820.546997
"Cell_425",0,0,0,0,0,0.868436456,0,0.094539627,0,0,0.7739501,0.265473098,0,0,0,0,0.681999385,0,0,0.633698821,0.579660892,0.470017612,0.372757882,0,0,0,0,0,0,0,0,0,0,0.351534575,0,0,859.015625,1822.906006
"Cell_426",0,0,0,0,0,0.791780114,0,0.255865067,0,0.190679595,0.672321737,0.369789749,0,0,0,0,0.598089755,0,0,0.577603519,0.538033187,0.304433227,0.663253844,0,0,0,0,0,0,0,0,0,0,0.292625636,0,0,1092.102051,1824.988037
"Cell_427",0,0,0,0,0,0.689775229,0,0,0,0,0.677408218,0.088753864,0,0,0,0,0.651771903,0,0,0.700317383,0.714812875,0.409514844,0.613399863,0,0,0,0,0,0,0,0,0,0,0.401368111,0,0,883.2000122,1827.311035
"Cell_428",0,0,0,0,0,0.701827586,0,0,0,0,0.573124826,0.080912799,0,0,0,0,0.712664545,0,0,0.669926643,0.465530336,0.435021549,0.590078354,0,0,0,0,0,0,0,0,0,0.078377791,0.424160749,0,0,1057.088013,1826.698975
"Cell_429",0,0,0,0,0,0.644586027,0,0,0,0,0.56049329,0.031289563,0,0,0,0,0.76393503,0,0,0.83877939,0.695663393,0.42476669,0.457656443,0,0,0,0,0,0,0,0,0,0,0.469476193,0,0,1259.396973,1829.427002
