"","betaCatenin","CD11b","CD11c","CD138","CD16","CD20","CD209","CD3","CD31","CD4","CD45","CD45RO","CD56","CD63","CD68","CD8","dsDNA","EGFR","FoxP3","H3K27me3","H3K9ac","HLA_Class_1","HLADR","IDO","Keratin17","Keratin6","Ki67","Lag3","MPO","p53","panKeratin","PD1","PDL1","pS6","SMA","Vimentin","centroidX","centroidY"
"Cell_1",0,0,0,0.111558698,0,0.479717374,0,0.216937453,0,0.246576518,0.496464431,0.253425151,0,0.121129505,0,0,0.757220089,0,0,0.841612637,0.660002947,0.398790717,0.666952848,0,0,0.030669143,0,0,0,0,0.135854185,0,0,0.518785715,0,0.37733978,1645.635132,6.729857922
"Cell_2",0,0,0,0.436962485,0,1.057944417,0,0,0,0,0.842553973,0.308663368,0,0,0,0,0.746746719,0,0,0.868198752,0.623984993,0.436975569,0.752584279,0,0,0.008810307,0,0,0,0,0.011819327,0,0,0.619067013,0,0,1693.625,9.326086998
"Cell_3",0,0,0,0.277569115,0,0.644113779,0,0.006269503,0,0,0.625827909,0.183887944,0,0,0,0,0.822491884,0,0,0.913295269,0.732704341,0.529872119,0.50552249,0,0,0.132049292,0,0,0,0,0.29206866,0,0,0.624970675,0,0,1813.877197,8.84837532
"Cell_4",0,0,0,0.034244306,0,0.509148061,0,0.091976024,0,0,0.322150797,0.139723435,0,0.013750308,0,0.214202806,0.772334456,0,0,0.643415749,0.564010978,0.114034563,0.528179407,0,0,0.292348027,0,0,0,0,0.594809651,0,0,0.434428662,0,0,1797.039063,17.58687973
"Cell_5",0,0,0,0,0,0.452857345,0,0,0,0,0.202666894,0,0,0,0,0,0.780819476,0,0,0.755468905,0.69966656,0.155834645,0.435412258,0,0,0.128079206,0,0,0,0,0.134742826,0,0,0.421899617,0,0.386701941,419.3009949,18.70149231
"Cell_6",0,0,0,0,0,0.693409026,0,0.155706599,0,0,0.472749501,0,0,0.015124348,0,0,0.81666863,0,0,0.853805661,0.614569426,0.40384388,0.557307899,0,0,0.005749174,0,0,0,0,0,0,0,0.504547477,0,0,403.2113342,28.49077988
"Cell_7",0.021999775,0,0,0.031101063,0,0.290838897,0,0.200568005,0.005478184,0.107846864,0.4772093,0,0,0,0,0,0.759042859,0,0,0.757886112,0.657193422,0.070671223,0.438052177,0,0,0,0,0,0,0,0.025165085,0,0,0.362062126,0,0.510534823,445.1347351,28.21894646
"Cell_8",0,0,0,0,0,0.618224621,0,0.036240432,0,0,0.678439856,0.08218357,0,0.082321614,0,0.031317074,0.711190224,0,0,0.843196213,0.619071603,0.30728817,0.475159734,0,0,0.077880166,0,0,0,0,0.224562258,0,0,0.507247388,0,0,1756.686768,36.4617157
"Cell_9",0,0,0,0,0,0.480808377,0,0,0,0,0.350221783,0.078850515,0,0,0,0.083521485,0.732858658,0,0,0.762698948,0.497620612,0.097832933,0.550478816,0,0,0.034436196,0,0,0,0,0.093773797,0,0,0.440170139,0,0.419241458,225.7505035,54.88032532
"Cell_10",0,0,0,0.070682235,0,0.802307308,0,0.173056513,0,0.101697221,0.655854106,0.101595968,0,0,0,0,0.832615316,0,0,0.896605372,0.710019052,0.409121782,0.542030931,0,0,0.007237469,0,0,0,0,0,0,0,0.571637094,0,0,1636.675537,60.90476227
"Cell_11",0,0,0,0,0,0.689275265,0,0,0,0,0.429129094,0,0,0,0,0,0.788296878,0,0,0.881010115,0.714976609,0.291883945,0.539306998,0,0,0.011976683,0,0,0,0,0.140949517,0,0,0.563132465,0,0,1650.300537,61.66009903
"Cell_12",0,0,0,0.238710403,0,0.779447854,0,0.251592606,0.12303254,0.191821784,0.644652605,0.308967084,0,0.044096425,0,0.16770108,0.939767003,0,0,0.913572907,0.749098837,0.474486202,0.603060842,0,0,0.05290699,0,0,0,0,0.285878181,0,0,0.616822064,0.12813361,0,1934.793823,61.0529213
"Cell_13",0,0,0,0.107748091,0,0.431596637,0,0,0,0,0.22757706,0,0,0.170492634,0.119454615,0,0.755372167,0,0,0.621332526,0.429022789,0.275748193,0.586031854,0,0,0.137994766,0,0,0,0,0.382893831,0,0,0.369887978,0.174312145,0.426508784,1733.011475,68.63252258
"Cell_14",0,0,0.070942998,0,0,0.81289506,0,0,0,0,0.484803319,0.06828402,0,0,0,0,0.819695532,0,0,0.659141779,0.648770571,0.331303984,0.638026118,0,0,0.183140665,0,0,0,0,0.01463635,0,0,0.462337226,0.185302034,0.174136102,1594.842285,74.87115479
"Cell_15",0.041084412,0,0,0.118910387,0,0.674302042,0,0.027338892,0.020487439,0,0.471154153,0,0,0,0,0,0.77267468,0,0,0.840004027,0.659746885,0.237539828,0.655914009,0,0,0.025494603,0,0,0,0,0.084832564,0,0,0.50931102,0,0.095760234,1612.440918,80.6889801
"Cell_16",0,0,0.470588684,0,0,0.812412858,0,0,0,0,0.832823098,0.254261941,0,0.29798907,0,0.185082421,0.830849469,0,0,0.758259654,0.540189028,0.612434506,0.565470755,0,0,0.001967693,0,0,0,0,0.005279309,0,0,0.477247596,0,0.134735852,1579.296143,88.77184296
"Cell_17",0.119918376,0,0,0.069819734,0,0.794570029,0,0.074826248,0,0,0.541086614,0,0,0,0,0,0.518049061,0,0,0.753159761,0.564289808,0.581274092,0.473327637,0,0,0,0,0,0,0,0.033517767,0,0,0.418944538,0,0.037789132,1637.240723,88.65431976
"Cell_18",0,0,0,0.269961178,0,0.899409294,0,0.285695314,0,0.193118498,0.77506578,0.478201568,0,0,0,0.035599232,0.951345503,0,0,0.934634507,0.694512427,0.402525097,0.659440756,0,0,0.053121295,0,0,0,0,0.229216069,0,0,0.63532275,0,0,1881.77832,89.15567017
"Cell_19",0.068083256,0,0,0.027150443,0,0.41209501,0,0,0.257129282,0,0.182584688,0,0,0,0.041992486,0,0.862866998,0,0,0.614655077,0.590524971,0.123029277,0.583330631,0,0,0.124485388,0.02659346,0,0,0,0.333573431,0,0,0.350667685,0.134514406,0.137231618,1969.347168,90.85668945
"Cell_20",0,0,0,0.197303265,0,0.651989698,0,0.123087108,0,0.16914396,0.647959828,0.33829236,0,0.225881502,0,0.096320383,0.867758632,0,0,0.791844964,0.432826161,0.567166686,0.629497588,0,0,0.037924163,0,0,0,0,0.100751594,0,0,0.499204129,0.10162285,0,1681.455078,94.15102386
"Cell_21",0,0,0,0.158434153,0,0.524593055,0,0,0,0,0.493282437,0,0,0,0,0,0.849020422,0,0,0.741189361,0.655267596,0.249104068,0.581204295,0,0,0,0,0,0,0,0,0,0,0.413667649,0.194087803,0.376858234,1507.008789,101.1545258
"Cell_22",0.024186758,0,0,0.365305305,0,0.784563422,0,0.081132092,0.013552321,0,0.702177644,0,0,0.188282058,0,0,0.787722886,0,0,0.8415097,0.590253413,0.467224151,0.53452462,0,0,0.091096364,0,0,0,0,0.367485225,0,0,0.528952718,0.102528803,0,1954.007813,107.2760391
"Cell_23",0,0,0,0.310895354,0,0.577955961,0,0.104662731,0,0,0.634588718,0.103398658,0,0,0,0,0.64794445,0,0,0.861247957,0.672141612,0.35949856,0.514619529,0,0,0.075149968,0,0,0,0,0.165376067,0,0,0.505351961,0,0,1636.672729,111.9333344
"Cell_24",0,0,0,0,0,0.709065676,0,0.003885177,0,0,0.456732035,0.059017323,0,0.010844643,0,0,0.774549365,0,0,0.795156181,0.540590465,0.416947544,0.546317399,0,0,0.071672827,0,0,0,0,0.223498091,0,0,0.460070968,0,0,1773.248291,116.116333
"Cell_25",0,0,0,0,0,0.714844048,0,0.13705273,0,0,0.547284007,0.088654645,0,0.102522142,0,0,0.816974759,0,0,0.773435116,0.69277972,0.477556765,0.614032567,0,0,0.009687456,0,0,0,0,0.010830777,0,0,0.464888811,0.220058709,0,1728.649414,119.8625488
"Cell_26",0,0,0,0.005033934,0,0.891539454,0,0.076612934,0,0.025303813,0.630618215,0.257317543,0,0,0.008072893,0,0.868956268,0,0,0.821587384,0.679926991,0.372639179,0.717230022,0,0,0.039315015,0,0,0,0,0,0,0,0.54603225,0,0,1548.531006,126.4380493
"Cell_27",0,0,0,0.112230182,0,0.652238488,0,0.024837429,0,0,0.446029365,0.041108564,0,0,0,0,0.869402945,0,0,0.888613105,0.61343646,0.33070612,0.588746369,0,0,0.097536065,0,0,0,0,0.084773004,0,0,0.562399149,0,0,1655.234619,138.3562164
"Cell_28",0,0,0,0.0085749,0,0.391121477,0,0,0,0.050249297,0.539050877,0.329704612,0,0.093658656,0.050195105,0,0.819334984,0,0,0.733624458,0.577319741,0.316489011,0.568579614,0,0,0.077325083,0,0,0,0,0.091887102,0,0,0.396142036,0,0,243.3190918,133.8806458
"Cell_29",0,0,0,0.698266387,0,0.823237002,0,0,0,0,0.704729438,0,0,0,0.354531735,0.021350628,0.716114998,0,0,0.767021775,0.460106105,0.804090619,0.498177052,0,0,0.092514679,0,0,0,0,0.151800066,0,0,0.459039569,0,0,1881.924683,137.9246521
"Cell_30",0,0,0,0.666150808,0,0.769476771,0,0,0,0,0.626748621,0,0,0.506288052,0,0,0.704661131,0,0,0.831184864,0.555830419,0.480257064,0.450681418,0,0,0.024646262,0,0,0,0,0.01273239,0,0,0.532696068,0.206507981,0,1426.887573,160.7189636
"Cell_31",0,0,0.053178836,0.267588854,0,0.594089091,0,0.057517245,0,0.049649529,0.458587319,0.123330325,0,0,0,0,0.901577234,0,0,0.833381355,0.596531689,0.253003031,0.587590218,0,0,0,0,0,0,0,0,0,0,0.478065282,0,0,1549.812744,161.2180023
"Cell_32",0,0,0,0,0,0.821439385,0,0,0,0,0.570586264,0,0,0.250341833,0,0,0.620479763,0,0,0.741785347,0.481633306,0.365982115,0.556294084,0,0,0.063102476,0,0,0,0,0.222247466,0,0,0.465361953,0,0,1583.160767,165.1607208
"Cell_33",0,0,0,0.013074373,0,0.635540128,0,0.191965371,0,0.039423663,0.592403829,0.213470742,0,0,0.375535935,0,0.875635743,0,0,0.897911787,0.65480864,0.487373561,0.567717969,0,0,0,0,0,0,0,0,0,0,0.570432067,0,0,1654.657471,165.1287384
"Cell_34",0,0,0,0.085826121,0,0.733439088,0,0.021511359,0,0,0.722886562,0,0,0.047874555,0,0,0.78935492,0,0,0.905642688,0.667868674,0.481724799,0.471958041,0,0,0.106198043,0,0,0,0,0.326018035,0,0,0.60533905,0,0,1762.953979,165.4353943
"Cell_35",0,0,0,0.257501751,0,0.712411702,0,0.349548489,0,0.175758138,0.694424748,0.086406454,0,0.231839672,0,0,0.853008628,0,0,0.790698051,0.711713612,0.42331329,0.528851867,0,0,0.251721174,0,0,0,0,0.307256848,0,0,0.49696821,0.206861466,0,1866.520142,176.7471771
"Cell_36",0,0,0,0.75947547,0,0.815863192,0,0.102469206,0.202085271,0.124407209,0.709579408,0.196023375,0,0.073308043,0,0,0.876791596,0,0,0.864080608,0.621481121,0.525921941,0.488372982,0,0,0.052894697,0,0,0,0,0.270505816,0,0,0.602234781,0,0,1877.777588,196.8919525
"Cell_37",0,0,0,0.383672118,0,0.650457501,0,0.11235524,0,0.175071329,0.606957793,0.190057337,0,0.17969656,0,0,0.713684857,0,0,0.910978138,0.662142456,0.218793765,0.612719119,0,0,0.070801735,0,0,0,0,0.227118328,0,0,0.598241091,0,0,1743.032593,200.5627899
"Cell_38",0,0,0,0.446050465,0,0.865441799,0,0.374212325,0,0.338874489,0.743953347,0.434552133,0,0.018081645,0,0,0.653397977,0,0,0.768513799,0.5671314,0.431399226,0.70544982,0,0,0.021152558,0,0,0,0,0,0,0,0.481024832,0,0,1527.966431,201.6716461
"Cell_39",0,0,0,0.121927716,0,0.456751347,0,0,0,0,0.364441365,0.010468385,0,0.035189815,0.037814829,0,0.786805391,0,0,0.700292528,0.56943059,0.403598964,0.4760423,0,0.104283296,0.250651062,0,0,0,0,0.450535297,0,0,0.418774486,0.122071892,0,1850.154541,201.6701355
"Cell_40",0.05463618,0,0,0.056034788,0,0.613741755,0,0,0.075917669,0,0.544726014,0,0,0,0,0,0.880312443,0,0,0.915828705,0.727883577,0.331664652,0.530561388,0,0,0.034516811,0,0,0,0,0.091851451,0,0,0.610180914,0,0.370191813,1756.813477,206.6629181
"Cell_41",0,0.222081736,0.043110833,0.182592645,0,0.782896698,0,0,0,0,0.814693511,0.100491084,0,0.1687686,0.029720524,0,0.737726748,0,0,0.763444424,0.517392278,0.609887362,0.48938638,0,0,0.031050049,0,0,0.17322056,0,0.041654699,0,0,0.511271417,0,0,1837.817627,224.4241791
"Cell_42",0,0,0,0,0,0.78952682,0,0.092832677,0,0.063873306,0.422818154,0,0,0.003253968,0,0,0.688354909,0,0,0.876060486,0.693080902,0.2511006,0.662965238,0,0,0.051367998,0,0,0,0,0.05813523,0,0,0.548542261,0,0,151.1543579,237.0201416
"Cell_43",0,0,0,0.013913634,0,0.943684816,0,0.015930831,0,0,0.719647884,0.056143485,0,0.113239847,0,0.10029383,0.825205564,0,0,0.904257298,0.672469199,0.425415337,0.643570065,0,0,0.056592442,0,0,0,0,0.172754079,0,0,0.607236743,0,0,1953.813477,238.9357758
"Cell_44",0,0.023328012,0.076324031,0,0,0.699855149,0,0.096617065,0,0.074827395,0.587835371,0.218818128,0,0.179086685,0.024528414,0,0.888719738,0,0,0.821599185,0.630271137,0.323607773,0.57029742,0,0,0.069693126,0,0,0.13722904,0,0.165154666,0,0,0.577853918,0,0.24845162,1817.091064,241.8322906
"Cell_45",0,0,0,0,0,0.577025533,0,0.170644045,0,0.153590113,0.528449178,0.220065638,0,0,0,0.057041861,0.695229471,0,0,0.809351623,0.542767942,0.52957648,0.583280742,0,0,0,0,0,0,0,0,0,0,0.48235023,0.149350792,0,231.5196838,247.8057709
"Cell_46",0,0,0,0,0,0.728296757,0,0.118457086,0,0,0.670313954,0.326823026,0,0,0,0.247505307,0.742645025,0,0,1.004973292,0.809383869,0.495668024,0.413872778,0,0,0,0,0,0,0,0.258891761,0,0,0.674826562,0,0,1686.15271,254.5114441
"Cell_47",0,0,0,0.004114577,0,0.616094351,0,0.093789332,0,0.096163757,0.647725999,0.134579837,0,0,0,0,0.898039222,0,0,0.9284482,0.674968958,0.389428139,0.576253295,0,0,0.048114426,0,0,0,0,0.125240669,0,0,0.624723971,0,0,1949.611206,261.0596619
"Cell_48",0,0,0.073660783,0,0,0.600444674,0,0.058176715,0,0,0.508086681,0.086830854,0,0.091991559,0,0,0.821704805,0,0,0.818936169,0.608164489,0.506319523,0.583764017,0,0,0,0,0,0,0,0.007298667,0,0,0.500061631,0.306784123,0.028830543,511.0022278,275.5928345
"Cell_49",0,0,0,0,0,0.421944201,0,0.146876395,0,0.006655168,0.536139011,0.190752253,0,0,0,0.246483684,0.825059474,0,0,0.735763669,0.560104489,0.25794059,0.484353483,0,0,0.007073307,0,0,0,0,0.082767703,0,0,0.389297873,0.154045478,0.18551439,186.3211212,273.2635193
"Cell_50",0,0,0,0,0,0.554977775,0,0.270579129,0,0,0.591270328,0.275345981,0,0,0,0.057589386,0.847876012,0,0,0.840987206,0.728048444,0.353657097,0.51698786,0,0,0,0.029043274,0,0,0,0.07139612,0,0,0.553548515,0,0,602.4625854,302.8173828
"Cell_51",0,0,0,0,0,0.563129127,0,0.013255957,0,0,0.548372269,0.141704053,0,0,0,0.171275929,0.774416089,0,0,0.870681703,0.674449682,0.332038611,0.539444566,0,0,0,0,0,0,0,0.024886122,0,0,0.525128305,0,0,583.9694824,307.1603088
"Cell_52",0,0,0,0,0,0.755445421,0,0,0,0,0.478739887,0.09107957,0,0.463324845,0,0,0.755100489,0,0,0.867674291,0.616337776,0.428030759,0.709533036,0,0,0.043938946,0,0,0,0,0.07832098,0,0,0.557517648,0,0,574.958252,328.3085327
"Cell_53",0,0,0,0,0,0.613610566,0,0.104272142,0,0,0.434628904,0.056288071,0,0,0,0.257323891,0.642263412,0,0,0.747371614,0.503666103,0.252842963,0.678930342,0,0,0,0,0,0,0,0,0,0,0.459253818,0.375548929,0.539073229,176.581131,343.5132141
"Cell_54",0,0,0,0,0.228500813,0.72970283,0,0,0,0,0.645401835,0,0,0.084966965,0.24888514,0,0.617812455,0,0,0.746926367,0.599552095,0.615475059,0.424854159,0,0,0,0,0,0,0,0,0,0,0.456266284,0,0,778.5320435,356.4433594
"Cell_55",0,0,0,0,0,0.40162155,0,0,0,0,0.484075457,0.055325344,0,0.332521141,0,0,0.841628194,0,0,0.826256752,0.52386713,0.344617188,0.480840057,0,0,0.15389052,0,0,0,0,0.238814712,0,0,0.505856574,0.421913862,0.281039745,547.7698364,361.8164978
"Cell_56",0,0,0.337186098,0,0,0.604206085,0,0,0,0,0.618963122,0,0,0.362823308,0.150386438,0,0.5786165,0,0,0.534422934,0.574809551,0.65228045,0.61090219,0,0,0,0,0,0,0,0,0,0,0.384845197,0,0,1628.8125,363.3671875
"Cell_57",0,0,0,0,0,0.859892309,0,0,0,0,0.632802963,0.201778293,0,0.019777009,0,0.070232414,0.813417196,0,0,1.047809005,0.862993002,0.510796547,0.66178292,0,0,0.011026722,0,0,0,0,0.095049389,0,0,0.759290159,0,0,1813.904785,373.2653198
"Cell_58",0,0,0.006301672,0.450728714,0.003302716,0.575638533,0,0.283134341,0,0.105429053,0.60665822,0.173022643,0,0.25953415,0.010135256,0,0.892750859,0,0,0.898850501,0.664367318,0.620963812,0.503586411,0,0,0.063727982,0,0,0,0,0.172697514,0,0,0.55988884,0,0,1666.806396,378.2015991
"Cell_59",0,0,0,0,0,0.682606041,0,0,0,0,0.501444757,0.038970359,0,0.341342032,0,0,0.599185705,0,0,0.752557397,0.584941745,0.597151339,0.530852258,0,0,0,0,0,0,0,0.003072215,0,0,0.492566913,0.183712453,0.238162369,568.5169678,387.1864319
"Cell_60",0,0,0,0.189984351,0,0.631275356,0,0,0,0,0.510919631,0,0,0.008895162,0,0,0.737597346,0,0,0.819313884,0.346912742,0.283844411,0.528475106,0,0,0.007436614,0,0,0,0,0,0,0,0.440745771,0,0,1415.578003,387.403656
"Cell_61",0,0,0,0,0,0.853988171,0,0.018511526,0,0,0.69212985,0.116031252,0,0,0,0.06391564,0.830075502,0,0,0.858105898,0.693961084,0.529852271,0.730372608,0,0,0.018998012,0,0,0,0,0.034728929,0,0,0.580499947,0,0,1808.537354,388.1044922
"Cell_62",0,0,0,0,0,0.812318981,0,0.104662731,0,0,0.493377268,0.18623215,0,0.013056249,0,0.198608011,0.659597695,0,0,0.810516119,0.63573736,0.179336667,0.611728787,0,0,0,0,0,0,0,0.003661812,0,0,0.49920848,0,0,152.5353546,402.4781189
"Cell_63",0,0,0.011566789,0,0,0.603239596,0,0,0,0,0.409397006,0,0,0,0.012756237,0,0.760954678,0,0,0.646112442,0.61253804,0.243994713,0.539913118,0,0,0,0,0,0,0,0.00190135,0,0,0.469554305,0.679978132,0.598835468,218.4790192,411.1014099
"Cell_64",0,0,0,0.002924658,0,0.726277351,0,0,0,0,0.669760704,0.082243949,0,0.034829415,0.403219759,0,0.884959698,0,0,0.829246283,0.56500113,0.660763562,0.522223175,0,0,0.080060571,0,0,0,0,0.013975562,0,0,0.520815134,0,0,1567.910034,450.9460144
"Cell_65",0,0,0,0.624447405,0,0.7662642,0,0,0,0,0.552635074,0,0,0,0,0,0.576457441,0,0,0.723132074,0.541045308,0.446576506,0.610475004,0,0,0.066249393,0,0,0,0,0.279698342,0,0,0.426434219,0,0,2006.238525,452.724762
"Cell_66",0,0,0,0.032839123,0,0.219964832,0,0.234255567,0,0.125895068,0.525521398,0.220273808,0,0.235638663,0.207152009,0,0.822741687,0,0,0.632953942,0.709446251,0.394111633,0.58327347,0,0,0.096286073,0,0,0,0,0.11133825,0,0,0.331898004,0,0,1952.861328,488.473999
"Cell_67",0,0,0,0.00604064,0,0.475985259,0,0.067465082,0,0.084114783,0.421475649,0,0,0,0,0,0.855417192,0,0,0.787079275,0.496516049,0.138222858,0.469597518,0,0,0.192260027,0,0,0,0,0.442833483,0,0,0.415522724,0,0,2021.07959,493.2867126
"Cell_68",0,0,0,0,0,0.734693587,0,0.130422473,0,0,0.60985589,0.055061322,0,0.051201578,0.027607646,0.231261015,0.908092737,0,0,0.81483376,0.574834287,0.453182906,0.48327902,0,0,0.064864367,0,0,0,0,0.134131014,0,0,0.509726703,0.072285049,0,1642.79541,493.0631409
"Cell_69",0,0,0,0.426903874,0,0.841165423,0,0,0,0,0.531962633,0.021414923,0,0.171900317,0.069392569,0,0.783513486,0,0,0.94683063,0.711488068,0.432135999,0.639388382,0,0,0.050597724,0,0,0,0,0.229205072,0,0,0.662691832,0,0,1907.383667,503.7511597
"Cell_70",0,0,0,0,0,0.721915483,0,0.099037945,0,0,0.479743123,0.024302023,0,0,0.00550405,0.204005942,0.782637954,0,0,0.744457483,0.580583394,0.414840221,0.466096044,0,0,0,0,0,0,0,0,0,0,0.679938674,0,0,443.5882263,512.494751
"Cell_71",0,0,0,0,0,0.526666224,0,0.238089859,0,0.030741494,0.630946875,0.195469856,0,0,0,0,0.835155427,0,0,0.893242896,0.772709072,0.349413157,0.564931214,0,0,0,0,0,0,0,0,0,0,0.535910368,0,0,575.4636841,511.9314575
"Cell_72",0,0,0,0,0,0.699628055,0,0.092147529,0,0.077505276,0.625096142,0.263316721,0,0,0,0,0.862508416,0,0,0.940700829,0.77510649,0.447326005,0.526232481,0,0,0.096946999,0,0,0,0,0.017040174,0,0,0.63546443,0,0,590.902832,512.7398071
"Cell_73",0,0,0,0.009192633,0,0.737284422,0,0,0,0,0.572185397,0,0,0,0.045897648,0,0.84459275,0,0,0.779212177,0.550191164,0.49473545,0.466046333,0,0,0,0,0,0,0,0.056883425,0,0,0.455704838,0,0,1867.551514,535.4525146
"Cell_74",0,0,0,0,0,0.798052251,0,0,0,0,0.651629806,0,0,0,0,0,0.513757765,0,0,0.462353587,0.415242285,0.333698064,0.551610231,0,0,0.18357414,0,0,0,0,0.372359842,0,0,0.423434973,0.637753725,0,237.2449036,538.918396
"Cell_75",0,0,0,0,0,0.520189524,0,0.26107794,0,0,0.672652841,0.328879148,0,0.041052178,0,0.231820345,0.832119524,0,0,0.778025508,0.601762056,0.396030515,0.4433873,0,0,0,0,0,0,0,0.073856361,0,0,0.384312302,0,0,574.2712402,539.1815796
"Cell_76",0,0,0,0.11716029,0,0.844232738,0,0,0,0,0.582942784,0.271122545,0,0.326676667,0.421433151,0,0.594256997,0,0,0.699543655,0.400346309,0.468312532,0.570426822,0,0,0.068472326,0,0,0,0,0.151217371,0,0,0.380856931,0,0,663.7080078,542.3195801
"Cell_77",0,0,0.014572121,0.395281851,0.011455683,0.80917275,0,0,0,0,0.607347548,0.083039932,0,0.227754876,0.022085248,0,0.751165152,0,0,0.678181767,0.583141148,0.520608604,0.451407969,0,0,0.047952402,0,0,0,0,0.009581026,0,0,0.460667193,0.449041396,0.196599424,1813.817139,554.6497803
"Cell_78",0,0,0,0,0,0.864490092,0,0,0,0,0.348259896,0,0,0.017341875,0,0,0.802406311,0,0,0.838173687,0.683669508,0.537702024,0.328059375,0,0,0.036950368,0,0,0,0,0.09612821,0,0,0.512649536,0,0,734.4890747,556.6182861
"Cell_79",0,0,0,0,0,0.643084288,0,0.164146826,0,0,0.605229378,0.050237048,0,0,0.017097199,0.378547192,0.845486283,0,0,0.840779901,0.567357242,0.594922602,0.48190394,0,0,0.089500502,0,0,0,0,0.018118484,0,0,0.509396791,0,0.06188494,871.1791382,573.2125244
"Cell_80",0,0,0,0,0,0.85308063,0.014085878,0.518421352,0.642856479,0,0.688093305,0.179672584,0,0,0,0,0.766164422,0,0,0.712670445,0.601424277,0.260621935,0.699733377,0,0,0,0,0,0,0,0,0,0,0.43255803,0,0,1985.045776,576.3380127
"Cell_81",0,0,0.05632795,0,0,0.477136165,0,0,0,0,0.361857265,0,0,0,0,0,0.793690503,0,0,0.670762122,0.601075113,0.3381477,0.540076315,0,0,0,0,0,0,0,0,0,0,0.437005073,0.202910095,0.42853111,234.3186035,704.1630859
"Cell_82",0,0,0,0,0,0.841698527,0,0,0,0,0.546581924,0,0,0.144185096,0,0,0.551465988,0,0,0.530458033,0.036927629,0.378531426,0.706063449,0,0,0.054189522,0,0,0,0,0,0,0,0.325834602,0,0.035344113,249.6730804,704.2307739
"Cell_83",0,0,0,0,0,0.457757771,0,0.413357258,0.166678667,0.040942002,0.618284047,0,0,0,0,0.341837347,0.836507022,0,0,0.729927361,0.63773495,0.09047167,0.561802149,0,0,0.010717051,0,0,0,0,0,0,0,0.333177805,0,0.305617094,1960.60498,709.9338989
"Cell_84",0,0,0,0,0,0.582246006,0,0.195802435,0,0.092671625,0.652872503,0,0,0,0,0,0.741601348,0,0,0.708999395,0.452314109,0.358870924,0.414631248,0,0,0,0,0,0,0,0,0,0,0.368016362,0.350284636,0.29689014,2022.142822,771.3728027
"Cell_85",0,0,0,0,0,0.754799783,0,0,0,0,0.331098616,0.036853891,0,0.024838779,0.072395138,0,0.809304476,0,0,0.746946156,0.379204035,0.397863716,0.590078354,0,0,0.005196443,0,0,0,0,0.069279306,0,0,0.426316947,0,0,1156.355713,776.6634521
"Cell_86",0,0,0,0,0,0.674152136,0,0,0,0,0.542654276,0.115536824,0,0.271393478,0,0,0.752186954,0,0,0.718552351,0.519102216,0.399600774,0.41569382,0,0,0,0,0,0,0,0,0,0,0.362319559,0,0.024743797,34.60189438,790.9360352
"Cell_87",0,0,0,0,0,0.174587578,0,0,0,0,0.302721083,0,0,0,0,0,0.76820606,0,0,0.491477638,0.556978703,0.156222671,0.416362733,0,0,0,0,0,0,0,0,0,0,0.268799394,0,0.438116431,274.2272644,807.7295532
"Cell_88",0,0,0,0,0,0.695028186,0,0,0,0,0.354539931,0,0,0.031455074,0,0,0.848323345,0,0,0.828847647,0.566098571,0.360173106,0.591748476,0,0,0.005852933,0,0,0,0,0.046979081,0,0,0.434995919,0,0,758.1913452,808.0974731
"Cell_89",0,0,0,0,0,0.586269796,0,0.158525839,0,0,0.514894605,0.307839304,0,0.182423592,0,0,0.628701389,0,0,0.674149871,0.585422337,0.333787143,0.510672987,0,0,0.049684286,0,0,0,0,0.13110733,0,0,0.393622398,0.089623928,0.122987129,1406.869873,866.3493042
"Cell_90",0,0,0,0.095520392,0,0.284094363,0,0.141346678,0,0,0.584017277,0.311611593,0,0,0,0,0.84516865,0,0,0.832448661,0.570638776,0.254889816,0.418776155,0,0,0.034310754,0,0,0,0,0.088516481,0,0,0.444906533,0,0,1990.827637,893.6259766
"Cell_91",0,0,0.191767275,0,0,0.215378314,0,0.272058755,0,0,0.564570248,0.330734462,0,0.058564983,0.156952038,0,0.790296018,0,0,0.643564165,0.464453906,0.413024336,0.459483325,0,0,0,0,0,0,0,0,0,0,0.260372341,0,0,1927.930542,900.0802612
"Cell_92",0,0,0,0,0,0.576124251,0,0,0,0,0.412025779,0,0,0.135493025,0.132473961,0,0.81673032,0,0,0.673282325,0.460032851,0.289735138,0.557018757,0,0,0.003242707,0,0,0,0,0.013048014,0,0,0.293317765,0,0.316923738,1045.812012,913.7299805
"Cell_93",0,0,0,0,0,0.644910455,0,0.30672881,0,0,0.663331628,0.373121828,0,0,0,0,0.730789185,0,0,0.841935158,0.618937433,0.222637191,0.538880408,0,0,0,0,0,0,0,0.038311251,0,0,0.471685499,0,0,1211.988281,914.0176392
"Cell_94",0,0,0,0,0,0.449704379,0,0,0,0,0.446775734,0,0,0.010595843,0.168002099,0,0.681845665,0,0,0.847429037,0.661983728,0.636600852,0.422216088,0,0,0.011071887,0,0,0,0,0.082464725,0,0,0.492446661,0,0.278232634,1141.469971,929.5081787
"Cell_95",0.067721836,0,0,0,0,0.450281143,0,0.139758244,0.141994014,0,0.539419293,0.168509603,0,0.056526843,0.025837796,0.108237505,0.816493928,0,0,0.799460649,0.575452149,0.252188325,0.39668259,0,0,0.012255717,0,0,0.001647745,0,0.067441814,0,0,0.452889293,0,0.460868239,1156.136108,950.9603271
