"Industry (English) / Industrie (Anglais)","Industry (French) / Industrie (Français)","Year / Année","NAICS Number / Numéro SCIAN","Total - Releases to Air (tonnes) / Total - Rejets dans l'air (tonnes)","Facility Count / Nombres d'installations"
"Tobacco manufacturing","Fabrication du tabac",2020,3122,1.890000000,1
"Tobacco manufacturing","Fabrication du tabac",2023,3122,0.952000000,1
"Tobacco manufacturing","Fabrication du tabac",2024,3122,0.875000000,1
"Tobacco manufacturing","Fabrication du tabac",2018,3122,2.366000000,1
"Tobacco manufacturing","Fabrication du tabac",2019,3122,1.936000000,1
"Tobacco manufacturing","Fabrication du tabac",2022,3122,1.170000000,1
"Universities","Universités",2018,6113,2559.608045000,22
"Universities","Universités",2024,6113,1660.758110000,18
"Universities","Universités",2021,6113,1886.726160000,20
"Universities","Universités",2015,6113,1789.410832000,21
"Universities","Universités",2017,6113,2755.959247000,23
"Universities","Universités",2020,6113,1919.718800710,20
"Universities","Universités",2022,6113,1890.130567000,20
"Universities","Universités",2023,6113,1797.357409000,19
"Universities","Universités",2016,6113,1688.594026000,22
"Universities","Universités",2019,6113,2877.566790350,21
"Urban transit systems","Services urbains de transport en commun",2015,4851,19.000000000,1
"Urban transit systems","Services urbains de transport en commun",2016,4851,9.400000000,1
"Utility system construction","Construction d'installations de services publics",2021,2371,41.400000000,1
"Utility system construction","Construction d'installations de services publics",2016,2371,26.600000000,1
"Utility system construction","Construction d'installations de services publics",2023,2371,36.600000000,1
"Utility system construction","Construction d'installations de services publics",2024,2371,40.600000000,1
"Utility system construction","Construction d'installations de services publics",2018,2371,29.400000000,1
"Utility system construction","Construction d'installations de services publics",2017,2371,4059.020000000,2
"Utility system construction","Construction d'installations de services publics",2019,2371,31.800000000,1
"Utility system construction","Construction d'installations de services publics",2020,2371,31.880000000,2
"Utility system construction","Construction d'installations de services publics",2022,2371,39.100000000,1
"Utility system construction","Construction d'installations de services publics",2015,2371,27.000000000,1
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2015,3212,40504.661818003,59
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2024,3212,34181.669868990,61
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2021,3212,36789.215198542,63
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2016,3212,36869.728733404,62
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2017,3212,35113.239924204,62
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2020,3212,35833.044997703,63
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2022,3212,39437.794318545,62
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2019,3212,36331.976774203,64
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2023,3212,38956.184980181,62
"Veneer, plywood and engineered wood product manufacturing","Fabrication de placages, de contreplaqués et de produits en bois reconstitué",2018,3212,32352.375522203,63
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2022,3334,38.664570000,3
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2016,3334,37.009000000,2
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2024,3334,1.090270000,4
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2023,3334,0.019033000,4
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2020,3334,21.741200000,2
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2017,3334,43.438400000,2
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2015,3334,52.155000000,2
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2018,3334,64.227600000,2
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2021,3334,61.326600000,2
"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2019,3334,18.614400000,2
"Warehousing and storage","Entreposage",2022,4931,6527.558469000,83
"Warehousing and storage","Entreposage",2023,4931,6839.683427000,95
"Warehousing and storage","Entreposage",2019,4931,7066.850461000,107
"Warehousing and storage","Entreposage",2017,4931,6336.571714000,101
"Warehousing and storage","Entreposage",2021,4931,7750.134127499,103
"Warehousing and storage","Entreposage",2020,4931,6859.922909005,95
"Warehousing and storage","Entreposage",2024,4931,6860.832464930,96
"Warehousing and storage","Entreposage",2016,4931,5634.116314000,99
"Warehousing and storage","Entreposage",2018,4931,7492.455134000,112
"Warehousing and storage","Entreposage",2015,4931,5810.391824000,101
"Waste collection","Collecte de déchets",2020,5621,46.445637000,11
"Waste collection","Collecte de déchets",2019,5621,39.318200000,9
"Waste collection","Collecte de déchets",2024,5621,49.067500000,12
"Waste collection","Collecte de déchets",2016,5621,69.750501900,13
"Waste collection","Collecte de déchets",2015,5621,45.486000000,9
"Waste collection","Collecte de déchets",2022,5621,39.650730000,9
"Waste collection","Collecte de déchets",2021,5621,40.801383003,12
"Waste collection","Collecte de déchets",2018,5621,41.879000000,11
"Waste collection","Collecte de déchets",2023,5621,41.850500000,9
"Waste collection","Collecte de déchets",2017,5621,63.537200000,12
"Waste treatment and disposal","Traitement et élimination des déchets",2020,5622,8228.041959664,115
"Waste treatment and disposal","Traitement et élimination des déchets",2021,5622,8131.898800890,113
"Waste treatment and disposal","Traitement et élimination des déchets",2023,5622,8128.038585371,118
"Waste treatment and disposal","Traitement et élimination des déchets",2022,5622,8053.258755886,117
"Waste treatment and disposal","Traitement et élimination des déchets",2019,5622,7571.781440220,133
"Waste treatment and disposal","Traitement et élimination des déchets",2024,5622,8428.961254825,124
"Waste treatment and disposal","Traitement et élimination des déchets",2017,5622,7865.622931040,110
"Waste treatment and disposal","Traitement et élimination des déchets",2018,5622,8365.223407134,116
"Waste treatment and disposal","Traitement et élimination des déchets",2015,5622,7607.476267675,101
"Waste treatment and disposal","Traitement et élimination des déchets",2016,5622,7855.388222794,104
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2018,2213,8499.421045272,112
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2021,2213,8780.196477814,116
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2020,2213,9355.233714939,116
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2022,2213,9869.554103516,119
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2017,2213,9736.746455530,113
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2016,2213,9479.651600562,112
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2024,2213,7887.936219263,122
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2019,2213,8733.001195053,112
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2023,2213,7777.629633086,122
"Water, sewage and other systems","Réseaux d'aqueduc et d'égout et autres",2015,2213,8584.133621067,112

